Run;Epoch;precision;recall;f1;accuracy;learning_rate;weight_decay;batch_size;training_loss;evaluation_loss
0;1;0.0;0.0;0.0;0.8137771918259723;2E-05;0.01;8;0.487400;0.460547
0;2;0.0;0.0;0.0;0.8137771918259723;2E-05;0.01;8;0.458200;0.447101
0;3;0.0;0.0;0.0;0.8137771918259723;2E-05;0.01;8;0.444600;0.416770
0;4;0.0;0.0;0.0;0.8137771918259723;2E-05;0.01;8;0.396400;0.391929
0;5;1.0;0.005319148936170213;0.010582010582010583;0.8148514851485148;2E-05;0.01;8;0.364300;0.357819
0;6;0.8;0.035650623885918005;0.06825938566552901;0.8189655172413793;2E-05;0.01;8;0.325700;0.327685
0;7;0.8433734939759037;0.12589928057553956;0.21909233176838808;0.8322689075630252;2E-05;0.01;8;0.297500;0.297630
0;8;0.7975206611570248;0.3567467652495379;0.4929757343550447;0.8617206548241031;2E-05;0.01;8;0.263700;0.268860
0;9;0.7721822541966427;0.6086956521739131;0.6807610993657505;0.8919499105545617;2E-05;0.01;8;0.246100;0.242467
0;10;0.7514563106796116;0.739961759082218;0.745664739884393;0.9045553145336226;2E-05;0.01;8;0.221000;0.217798
0;11;0.7124394184168013;0.8464491362763915;0.7736842105263156;0.9066232356134636;2E-05;0.01;8;0.187500;0.200613
0;12;0.7205651491365777;0.884393063583815;0.7941176470588235;0.9135174418604651;2E-05;0.01;8;0.156100;0.189969
0;13;0.70254110612855;0.912621359223301;0.7939189189189189;0.9113694151834363;2E-05;0.01;8;0.137100;0.186543
0;14;0.7285491419656787;0.9085603112840467;0.8086580086580086;0.9193430656934306;2E-05;0.01;8;0.135800;0.182926
0;15;0.7372611464968153;0.9025341130604289;0.8115687992988607;0.9213606437454279;2E-05;0.01;8;0.130000;0.179779
0;16;0.7395498392282959;0.8966861598440545;0.8105726872246696;0.9213893967093236;2E-05;0.01;8;0.116300;0.177374
0;17;0.7626262626262627;0.893491124260355;0.8228882833787466;0.9284140969162996;2E-05;0.01;8;0.105400;0.175010
0;18;0.7663865546218488;0.8958742632612967;0.8260869565217392;0.9294117647058824;2E-05;0.01;8;0.102700;0.173728
0;19;0.75787728026534;0.8960784313725491;0.821203953279425;0.9269724770642201;2E-05;0.01;8;0.097500;0.172764
0;20;0.7762478485370051;0.8913043478260869;0.8298068077276908;0.9318349299926308;2E-05;0.01;8;0.092600;0.171431
0;21;0.7764298093587522;0.8871287128712871;0.8280961182994454;0.9314917127071823;2E-05;0.01;8;0.107100;0.170919
0;22;0.7713310580204779;0.8932806324110671;0.8278388278388278;0.9307295504789977;2E-05;0.01;8;0.098700;0.170234
0;23;0.769100169779287;0.8952569169960475;0.8273972602739726;0.9303610906411202;2E-05;0.01;8;0.087700;0.170029
0;24;0.769100169779287;0.8952569169960475;0.8273972602739726;0.9303867403314917;2E-05;0.01;8;0.091800;0.169933
0;0;0.7735894941634242;0.903949985791418;0.8337046258681693;0.9363367280389304;2E-05;0.01;8;0.488900;0.467469
1;1;0.0;0.0;0.0;0.8137771918259723;2E-05;0.1;8;0.454800;0.441823
1;2;0.0;0.0;0.0;0.8137771918259723;2E-05;0.1;8;0.439800;0.407777
1;3;0.0;0.0;0.0;0.8137771918259723;2E-05;0.1;8;0.386700;0.381878
1;4;0.0;0.0;0.0;0.8137771918259723;2E-05;0.1;8;0.346200;0.344626
1;5;1.0;0.005319148936170213;0.010582010582010583;0.8148514851485148;2E-05;0.1;8;0.312700;0.314177
1;6;0.8571428571428571;0.04285714285714286;0.08163265306122448;0.8207766345834716;2E-05;0.1;8;0.286500;0.282761
1;7;0.85;0.28125;0.4226519337016574;0.855313257182416;2E-05;0.1;8;0.245900;0.252293
1;8;0.7644230769230769;0.6011342155009451;0.673015873015873;0.8894849785407726;2E-05;0.1;8;0.222500;0.221171
1;9;0.7457627118644068;0.7600767754318618;0.752851711026616;0.9057971014492754;2E-05;0.1;8;0.195800;0.201445
1;10;0.7156398104265402;0.8728323699421965;0.7864583333333333;0.9108049311094997;2E-05;0.1;8;0.169500;0.190308
1;11;0.7127496159754224;0.8992248062015504;0.7952013710368466;0.9131225009087605;2E-05;0.1;8;0.142200;0.187946
1;12;0.7264150943396226;0.8953488372093024;0.8020833333333334;0.9170003640334911;2E-05;0.1;8;0.122700;0.188304
1;13;0.716030534351145;0.90715667311412;0.8003412969283276;0.9150018162005086;2E-05;0.1;8;0.131600;0.179582
