,file,string,begin,end,type
0,ES100447.xml,obesidad mórbida,104,120,C0028756
1,ES100447.xml,esteatosis hepática,147,166,C2711227
2,ES100447.xml,síndrome malabsortivo,172,193,CUILESS
3,ES100447.xml,anemia crónica,236,250,C0581384
4,ES100447.xml,actividad de protrombina disminuida,276,311,C0553733
5,ES100447.xml,ceguera nocturna,491,507,C0028077
6,ES100447.xml,sensación de cuerpo extraño,561,588,C0423602
7,ES100447.xml,BUT muy disminuido,715,733,C3665775
8,ES100447.xml,xerosis conjuntival,735,754,C3665609
9,ES100447.xml,manchas de Bitot,757,773,C0423178
10,ES100447.xml,fino punteado,827,840,C1718687
11,ES100447.xml,moteado blanquecino,1016,1035,CUILESS
12,ES100447.xml,nefrolitiasis,1405,1418,C0392525
13,ES100447.xml,absceso,1431,1438,C0000833
14,ES100447.xml,sangrado,1499,1507,C0019080
15,ES100686.xml,mancha azulada,45,59,C0343042
16,ES100686.xml,masa,217,221,C0577559
17,ES100686.xml,lesión,344,350,C0221198
18,ES100686.xml,estrabismo,364,374,C0038379
19,ES100526.xml,deformidad,45,55,C0302142
20,ES100526.xml,dolor espontáneo,317,333,C1997216
21,ES100526.xml,dolorosas,596,605,C0030193
22,ES100526.xml,tumores blandos,617,632,C0746416
23,ES100526.xml,linfedema,918,927,C0024236
24,ES100526.xml,deformidad,1111,1121,C0302142
25,ES100526.xml,tumoraciones,1433,1445,C0577559
26,ES100526.xml,lesiones,1859,1867,C0221198
27,ES100042.xml,hipertensión arterial,65,86,C0020538
28,ES100042.xml,hernia de hiato,88,103,C3489393
29,ES100042.xml,estreñimiento,105,118,C0009806
30,ES100042.xml,síndrome miccional irritativo,152,181,CUILESS
31,ES100042.xml,disuria,218,225,C0013428
32,ES100042.xml,polaquiuria,228,239,C0042023
33,ES100042.xml,urgencias miccionales,253,274,C0085606
34,ES100042.xml,infección del tracto urinario,385,414,C0042029
35,ES100042.xml,leucocituria,617,629,C0555120
36,ES100042.xml,urgencias,1074,1083,C0085606
37,ES100042.xml,infección urinaria,1174,1192,C0042029
38,ES100042.xml,tumor urotelial del tracto urinario,1316,1351,C1644719
39,ES100042.xml,lesiones,1498,1506,C0221198
40,ES100042.xml,edema,1603,1608,C0013604
41,ES100042.xml,factores de riesgo,1736,1754,C0035648
42,ES100042.xml,lesiones vesicales,1946,1964,C0577180
43,ES100042.xml,tuberculomas,2003,2015,C0041295
44,ES100042.xml,ulceración de la mucosa,2192,2215,C0236053
45,ES100042.xml,infiltrado,2231,2241,C0332448
46,ES100042.xml,congestión,2265,2275,C0700148
47,ES100650.xml,síntomas,39,47,C1457887
48,ES100650.xml,masa,308,312,C0577559
49,ES100650.xml,masa,510,514,C0577559
50,ES100650.xml,masa pélvica,773,785,C0347944
51,ES100650.xml,signos,920,926,C0311392
52,ES100650.xml,infiltración,930,942,C0332448
53,ES100650.xml,ascitis,963,970,C0003962
54,ES100650.xml,adenomegalias,974,987,C1504555
55,ES100650.xml,mucocele apendicular,1068,1088,C0026684
56,ES100650.xml,líquido libre,1120,1133,C0013687
57,ES100650.xml,mucocele,1484,1492,C0026683
58,ES100650.xml,tumor,1506,1511,C0027651
59,ES100650.xml,malignidad,1558,1568,C0006826
60,ES100650.xml,invasión,1610,1618,CUILESS
61,ES100650.xml,calcificación,1632,1645,C0006663
62,ES100650.xml,neoplasia,1744,1753,C0027651
63,ES100320.xml,tos seca,84,92,C0850149
64,ES100320.xml,disnea,94,100,C0013404
65,ES100320.xml,fiebre,127,133,C0015967
66,ES100320.xml,astenia,135,142,C0004093
67,ES100320.xml,anorexia,144,152,C0003123
68,ES100320.xml,náuseas,154,161,C0027497
69,ES100320.xml,vómitos,164,171,C0042963
70,ES100320.xml,infección,195,204,C0009450
71,ES100320.xml,caquexia,331,339,C0006625
72,ES100320.xml,muguet,399,405,CUILESS
73,ES100320.xml,acropaquias,407,418,C0149651
74,ES100320.xml,adenopatías,420,431,C0497156
75,ES100320.xml,crepitantes,556,567,C0034642
76,ES100320.xml,soplo sistólico,579,594,C0232257
77,ES100320.xml,hepatomegalia,612,625,C0019209
78,ES100320.xml,condilomas vulvares,652,671,C0341851
79,ES100320.xml,masa mediastínica,1103,1120,C0240318
80,ES100320.xml,infiltrado,1178,1188,C0332448
81,ES100320.xml,adenopatías axilares,1326,1346,C0578735
82,ES100320.xml,masa mediastínica,1386,1403,C0240318
83,ES100320.xml,engrosamiento,1492,1505,C0205400
84,ES100320.xml,líquido libre,1560,1573,C0013687
85,ES100320.xml,insuficiencia respiratoria,1771,1797,C0035229
86,ES100320.xml,crisis,2002,2008,C0231224
87,ES100320.xml,hemiparesia izquierda,2048,2069,C0457436
88,ES100320.xml,masa,2118,2122,C0577559
89,ES100320.xml,metástasis,2496,2506,C0027627
90,ES100320.xml,neumonía,3146,3154,C0032285
91,ES100320.xml,linfoma,3218,3225,C0024299
92,ES100320.xml,tumor de células germinales extragonadal,3438,3478,C3544268
93,ES100280.xml,glomerulonefritis,23,40,C0017658
94,ES100280.xml,peritonitis,232,243,C0031154
95,ES100280.xml,dolor abdominal,476,491,C0000737
96,ES100280.xml,efecto masa,494,505,CUILESS
97,ES100280.xml,engrosamiento,541,554,C0205400
98,ES100280.xml,colección líquida pélvica,567,592,C1697454
99,ES100280.xml,dilatación gástrica e intestinal,635,667,C0520562
100,ES100280.xml,dilatación gástrica,635,654,C0038353
101,ES100280.xml,deterioro del estado general,786,814,C0877211
102,ES100519.xml,hipertensión arterial,68,89,C0020538
103,ES100519.xml,asma,92,96,C0004096
104,ES100519.xml,alergias,102,110,C0020517
105,ES100519.xml,mareo,171,176,C0012833
106,ES100519.xml,sudoración profusa,179,197,C0700590
107,ES100519.xml,taquicárdica,214,226,C0039231
108,ES100519.xml,caída accidental,264,280,C0000921
109,ES100519.xml,traumatismo,299,310,C3263723
110,ES100519.xml,lesiones cutáneas,367,384,C0037284
111,ES100519.xml,edema,443,448,C0013604
112,ES100519.xml,bullas,451,457,C0005758
113,ES100519.xml,dolor,490,495,C0030193
114,ES100519.xml,leucocitosis,580,592,C0023518
115,ES100519.xml,lesiones,788,796,C0221198
116,ES100519.xml,edema,831,836,C0013604
117,ES100519.xml,tumefacción,839,850,C0038999
118,ES100519.xml,crepitación,856,867,C0231592
119,ES100519.xml,flictenas,882,891,C0347555
120,ES100519.xml,epidermolisis,902,915,C0333472
121,ES100519.xml,dolor local severo,918,936,C0278140
122,ES100519.xml,dolor,1023,1028,C0030193
123,ES100519.xml,fascitis necrosante,1098,1117,C0238124
124,ES100519.xml,caída casual,1246,1258,C0000921
125,ES100519.xml,heridas,1264,1271,C0043250
126,ES100519.xml,lesiones,1275,1283,C0221198
127,ES100519.xml,infección,1593,1602,C0009450
128,ES100519.xml,fascitis necrotizante,1918,1939,C0238124
129,ES100519.xml,isquemia,1978,1986,C0022116
130,ES100519.xml,necrosis,1989,1997,C0151799
131,ES100519.xml,fenómenos hemorrágicos,2036,2058,C0019080
132,ES100519.xml,absceso,2360,2367,C0000833
133,ES100519.xml,complicación,3564,3576,C0009566
134,ES100727.xml,dificultad de fonación,63,85,C0564119
135,ES100727.xml,patrón facial III,169,186,C0424610
136,ES100727.xml,hipoplasia maxilar,199,217,C0266085
137,ES100727.xml,apiñamientos dentarios,219,241,C0040433
138,ES100727.xml,mordida abierta anterior,275,299,C0266060
139,ES100727.xml,macroglosia,320,331,C0024421
140,ES100727.xml,defecto en la pared abdominal,444,473,C5229466
141,ES100727.xml,síndrome de BeckwithWiedmann,581,610,C0004903
142,ES100727.xml,problemas de deglución fonación,692,724,C0564119
143,ES100727.xml,problemas de deglución,692,714,C0011168
144,ES100727.xml,dificultades respiratorias,727,753,C0476273
145,ES100727.xml,macroglosia,785,796,C0024421
146,ES100727.xml,problemas relacionados con el habla,1209,1244,C1456703
147,ES100727.xml,hipertrofía de los cornetes nasales,1442,1477,C0155840
148,ES100727.xml,lesiones,2167,2175,C0221198
149,ES100727.xml,hematoma,2302,2310,C0018944
150,ES100727.xml,sangrado postoperatorio,2324,2347,C0032788
151,ES100727.xml,complicación,2717,2729,C0009566
152,ES100727.xml,pérdida sensitiva o gustativa,3103,3132,C2364111
153,ES100727.xml,pérdida sensitiva,3103,3120,C0278134
154,ES100848.xml,odinofagia,70,80,C0221150
155,ES100848.xml,sangrado oral,83,96,C0029163
156,ES100848.xml,úlcera,139,145,C0041582
157,ES100848.xml,carcinoma epidermoide,263,284,C0007137
158,ES100848.xml,adenopatías,310,321,C0497156
159,ES100848.xml,carcinoma epidermoide,500,521,C0007137
160,ES100848.xml,astenia,1058,1065,C0004093
161,ES100848.xml,inestabilidad,1067,1080,C0231444
162,ES100848.xml,dolor abdominal,1083,1098,C0000737
163,ES100848.xml,hematemesis masiva,1110,1128,C0858247
164,ES100848.xml,tumoración,1226,1236,C0577559
165,ES100848.xml,carcinoma epidermoide,1389,1410,C0007137
166,ES100848.xml,metástasis,1426,1436,C0027627
167,ES100848.xml,sangrado,1586,1594,C0019080
168,ES100848.xml,diseminación metastásica,1941,1965,C0563521
169,ES100445.xml,agenesia de cuerpo calloso,144,170,C0175754
170,ES100445.xml,anomalías de la migración neuronal,190,224,C0431374
171,ES100445.xml,epilepsia en la infancia,249,273,C0393672
172,ES100445.xml,hipsarritmia,402,414,C0684276
173,ES100445.xml,pigmento peripapilar,500,520,CUILESS
174,ES100445.xml,disco óptico colobomatoso,724,749,C0155299
175,ES100445.xml,áreas hipopigmentadas coriorretinales,761,798,CUILESS
176,ES100445.xml,malformaciones,818,832,C0000768
177,ES100445.xml,retardo psicomotor muy severo,978,1007,CUILESS
178,ES100079.xml,hiperuricemia,261,274,C0740394
179,ES100079.xml,hematuria,319,328,C0018965
180,ES100079.xml,trombo tumoral,508,522,C3163918
181,ES100079.xml,infiltración,1140,1152,C0332448
182,ES100079.xml,infiltración,1271,1283,C0332448
183,ES100079.xml,adenopatías,1298,1309,C0497156
184,ES100079.xml,trombo,1382,1388,C0087086
185,ES100079.xml,neoformación renal,1464,1482,C0022665
186,ES100079.xml,trombo tumoral,1503,1517,C3163918
187,ES100079.xml,infiltración,2348,2360,C0332448
188,ES100079.xml,adenocarcinoma renal,2656,2676,C0007134
189,ES100079.xml,trombo,2826,2832,C0087086
190,ES100079.xml,lesión,2981,2987,C0221198
191,ES100079.xml,una lesión,3122,3132,C0221198
192,ES100079.xml,recidiva,3453,3461,C2825055
193,ES100737.xml,cefalea,205,212,C0018681
194,ES100737.xml,estrabismo convergente,270,292,C0014877
195,ES100737.xml,diplopia,313,321,C0012569
196,ES100737.xml,estrabismo convergente,449,471,C0014877
197,ES100737.xml,nistagmo horizontal,523,542,C0271385
198,ES100737.xml,masa,697,701,C0577559
199,ES100737.xml,edema,867,872,C0013604
200,ES100737.xml,proliferación,1178,1191,C0334094
201,ES100737.xml,tumor,1305,1310,C0027651
202,ES100737.xml,meningioma atípico,1316,1334,C0431122
203,ES100737.xml,estrabismo convergente,1826,1848,C0014877
