,file,string,begin,end,type
5,ES100569.xml,áreas hiperecoicas,395,413,B-Grp_Enfermedad
34,ES100848.xml,fracción,695,703,B-Grp_Enfermedad
35,ES100848.xml,cisplatino,743,753,B-Grp_Enfermedad
56,ES100098.xml,hábitos tóxicos,104,119,B-Grp_Enfermedad
58,ES100098.xml,bebedor,179,186,B-Grp_Enfermedad
62,ES100098.xml,divertículo,566,577,B-Grp_Enfermedad
64,ES100098.xml,polipoideas parietales,667,689,B-Grp_Enfermedad
66,ES100098.xml,divertículo,732,743,B-Grp_Enfermedad
71,ES100098.xml,enfermedad residual,1050,1069,B-Grp_Enfermedad
77,ES100098.xml,mitosis,1627,1634,B-Grp_Enfermedad
88,ES100098.xml,fibrosa peritumoral,1971,1990,B-Grp_Enfermedad
94,ES100098.xml,EMA,2215,2218,B-Grp_Enfermedad
102,ES100098.xml,enfermedad a distancia,2647,2669,B-Grp_Enfermedad
107,ES100098.xml,cistoscopias periódicas,3084,3107,B-Grp_Enfermedad
109,ES100098.xml,enfermedad,3238,3248,B-Grp_Enfermedad
110,ES100587.xml,bebedor,107,114,B-Grp_Enfermedad
113,ES100587.xml,Hábito intestinal,213,230,B-Grp_Enfermedad
115,ES100587.xml,elevación persistente,267,288,B-Grp_Enfermedad
122,ES100705.xml,palatoplastía,197,210,B-Grp_Enfermedad
124,ES100705.xml,duro,279,283,B-Grp_Enfermedad
130,ES100705.xml,colgajo lingual de base anterior,642,674,B-Grp_Enfermedad
131,ES100705.xml,defecto,704,711,B-Grp_Enfermedad
134,ES100705.xml,defecto,800,807,B-Grp_Enfermedad
136,ES100705.xml,piso nasal,966,976,B-Grp_Enfermedad
156,ES100578.xml,destaca ligera,288,302,B-Grp_Enfermedad
173,ES100578.xml,empeoramiento,1095,1108,B-Grp_Enfermedad
191,ES100050.xml,aumento testicular,205,223,B-Grp_Enfermedad
195,ES100050.xml,áreas quísticas,492,507,B-Grp_Enfermedad
198,ES100050.xml,hipoecoico,555,565,B-Grp_Enfermedad
202,ES100050.xml,resistencia,694,705,B-Grp_Enfermedad
214,ES100994.xml,hábitos tóxicos,357,372,B-Grp_Enfermedad
224,ES100994.xml,hallazgos patológicos,839,860,B-Grp_Enfermedad
245,ES100994.xml,escafoides,2081,2091,B-Grp_Enfermedad
246,ES100994.xml,astrágalo,2094,2103,B-Grp_Enfermedad
271,ES100278.xml,disposición nodular,992,1011,B-Grp_Enfermedad
277,ES100278.xml,depósitos,1533,1542,B-Grp_Enfermedad
280,ES100278.xml,mutación,1681,1689,B-Grp_Enfermedad
282,ES100278.xml,mutación,1741,1749,B-Grp_Enfermedad
285,ES100278.xml,depósito glomerular,1890,1909,B-Grp_Enfermedad
286,ES100278.xml,depósito masivo,1926,1941,B-Grp_Enfermedad
288,ES100278.xml,depósito,1962,1970,B-Grp_Enfermedad
292,ES100278.xml,afectación cardiaca,2367,2386,B-Grp_Enfermedad
304,ES100278.xml,enfermedad,3007,3017,B-Grp_Enfermedad
312,ES100447.xml,fístula urinaria,384,400,B-Grp_Enfermedad
313,ES100447.xml,progresión,511,521,B-Grp_Enfermedad
325,ES100447.xml,afectación macular,1059,1077,B-Grp_Enfermedad
348,ES100412.xml,hiperintensa,724,736,B-Grp_Enfermedad
349,ES100412.xml,hipointensa,745,756,B-Grp_Enfermedad
357,ES100412.xml,dificultad para realizar tareas cotidianas,1393,1435,B-Grp_Enfermedad
361,ES100412.xml,crecimiento endofítico,1575,1597,B-Grp_Enfermedad
364,ES100412.xml,iris,1675,1679,B-Grp_Enfermedad
368,ES100412.xml,núcleos ovalados,1806,1822,B-Grp_Enfermedad
369,ES100412.xml,mitosis,1900,1907,B-Grp_Enfermedad
381,ES100737.xml,mirada forzada,548,562,B-Grp_Enfermedad
387,ES100737.xml,asta temporal,795,808,B-Grp_Enfermedad
390,ES100737.xml,circunvolución temporal media,1045,1074,B-Grp_Enfermedad
394,ES100737.xml,2-3-mitosis,1441,1442,B-Grp_Enfermedad
