,file,string,begin,end,type
0,ES100447.xml,nefrolitiasis complicada,1405,1429,B-Grp_Enfermedad
1,ES100447.xml,absceso intrarrenal,1431,1450,B-Grp_Enfermedad
2,ES100447.xml,sangrado intenso,1499,1515,B-Grp_Enfermedad
3,ES100686.xml,masa pedunculada,217,233,B-Grp_Enfermedad
4,ES100686.xml,hemangioma fibrosado,551,571,B-Grp_Enfermedad
5,ES100526.xml,deformidad peneana,45,63,B-Grp_Enfermedad
6,ES100042.xml,polaquiuria intensas,228,248,B-Grp_Enfermedad
7,ES100042.xml,infección,385,394,B-Grp_Enfermedad
8,ES100650.xml,masa dependiente,510,526,B-Grp_Enfermedad
9,ES100650.xml,mucocele,1068,1076,B-Grp_Enfermedad
10,ES100650.xml,tumor mucinoso,1506,1520,B-Grp_Enfermedad
11,ES100650.xml,calcificación parietal,1632,1654,B-Grp_Enfermedad
12,ES100320.xml,disnea de intensidad progresiva,94,125,B-Grp_Enfermedad
13,ES100320.xml,adenopatías cervicales bilaterales menores,420,462,B-Grp_Enfermedad
14,ES100320.xml,crepitantes bibasales,556,577,B-Grp_Enfermedad
15,ES100320.xml,masa mediastínica anterior derecha,1103,1137,B-Grp_Enfermedad
16,ES100320.xml,infiltrado alveolo-intersticial bilateral,1178,1219,B-Grp_Enfermedad
17,ES100320.xml,adenopatías axilares bilaterales,1326,1358,B-Grp_Enfermedad
18,ES100320.xml,insuficiencia respiratoria progresiva,1771,1808,B-Grp_Enfermedad
19,ES100320.xml,crisis tónico-clónica,2002,2023,B-Grp_Enfermedad
20,ES100320.xml,adenopatía supraclavicular,2449,2475,B-Grp_Enfermedad
21,ES100320.xml,neumonía difusa,3146,3161,B-Grp_Enfermedad
22,ES100320.xml,linfoma diseminado,3218,3236,B-Grp_Enfermedad
23,ES100320.xml,tumor,3438,3443,B-Grp_Enfermedad
24,ES100280.xml,engrosamiento peritoneal,541,565,B-Grp_Enfermedad
25,ES100280.xml,dilatación gástrica,635,654,B-Grp_Enfermedad
26,ES100519.xml,dolor,918,923,B-Grp_Enfermedad
27,ES100519.xml,fascitis necrosante bilateral,1098,1127,B-Grp_Enfermedad
28,ES100519.xml,caída,1246,1251,B-Grp_Enfermedad
29,ES100519.xml,absceso intraparietal,2360,2381,B-Grp_Enfermedad
30,ES100727.xml,defecto,444,451,B-Grp_Enfermedad
31,ES100727.xml,sangrado transoperatorio,1293,1317,B-Grp_Enfermedad
32,ES100727.xml,pérdida sensitiva,3103,3120,B-Grp_Enfermedad
33,ES100727.xml,discrepancia maxilomandibular,3288,3317,B-Grp_Enfermedad
34,ES100848.xml,úlcera de aspecto necrótico,139,166,B-Grp_Enfermedad
35,ES100848.xml,adenopatías laterocervicales,310,338,B-Grp_Enfermedad
36,ES100848.xml,tumoración ulcerada,1226,1245,B-Grp_Enfermedad
37,ES100848.xml,carcinoma,1440,1449,B-Grp_Enfermedad
38,ES100445.xml,epilepsia,249,258,B-Grp_Enfermedad
39,ES100445.xml,hipsarritmia asimétrica,402,425,B-Grp_Enfermedad
40,ES100079.xml,crisis renoureteral,183,202,B-Grp_Enfermedad
41,ES100079.xml,infiltración vascular tumoral,1140,1169,B-Grp_Enfermedad
42,ES100079.xml,infiltración vascular,1271,1292,B-Grp_Enfermedad
43,ES100079.xml,neoformación renal estadio T3bN0M0,1464,1498,B-Grp_Enfermedad
44,ES100079.xml,lesión lítica,2981,2994,B-Grp_Enfermedad
45,ES100737.xml,estrabismo,270,280,B-Grp_Enfermedad
46,ES100737.xml,estrabismo,449,459,B-Grp_Enfermedad
47,ES100737.xml,edema perilesional,867,885,B-Grp_Enfermedad
48,ES100737.xml,proliferación neoplásica,1178,1202,B-Grp_Enfermedad
49,ES100051.xml,nevus azul prostático,645,666,B-Grp_Enfermedad
50,ES100521.xml,lesiones necróticas,426,445,B-Grp_Enfermedad
51,ES100521.xml,lesiones necróticas residuales,784,814,B-Grp_Enfermedad
52,ES100521.xml,lesiones de pequeño tamaño,869,895,B-Grp_Enfermedad
53,ES100521.xml,necrosis plantar izquierda,1027,1053,B-Grp_Enfermedad
54,ES100521.xml,úlcera pretibial derecha,1222,1246,B-Grp_Enfermedad
55,ES100521.xml,heridas cicatrizaron,3124,3144,B-Grp_Enfermedad
56,ES100736.xml,paraparesia bilateral,1613,1634,B-Grp_Enfermedad
57,ES100736.xml,hematoma ventral intradural extraparenquimatoso,1871,1918,B-Grp_Enfermedad
58,ES100736.xml,lesión subyacente,2074,2091,B-Grp_Enfermedad
59,ES100736.xml,hematoma ventral,2464,2480,B-Grp_Enfermedad
60,ES100736.xml,lesiones macroscópicas,2828,2850,B-Grp_Enfermedad
61,ES100050.xml,tumoración ligeramente,75,97,B-Grp_Enfermedad
62,ES100050.xml,nódulos tumorales,371,388,B-Grp_Enfermedad
63,ES100050.xml,nódulo era sólido,537,554,B-Grp_Enfermedad
64,ES100050.xml,carcinoma,863,872,B-Grp_Enfermedad
65,ES100050.xml,masas pardo-blanquecinas,925,949,B-Grp_Enfermedad
66,ES100050.xml,seminoma clásico,1069,1085,B-Grp_Enfermedad
67,ES100642.xml,deterioro neurológico,523,544,B-Grp_Enfermedad
68,ES100091.xml,dolor lumbar izquierdo,93,115,B-Grp_Enfermedad
69,ES100091.xml,quistes,1152,1159,B-Grp_Enfermedad
70,ES100091.xml,lesiones quísticas,1216,1234,B-Grp_Enfermedad
71,ES100091.xml,enfermedad hidatídica renal,1271,1298,B-Grp_Enfermedad
72,ES100278.xml,amiloidosis renal,110,127,B-Grp_Enfermedad
73,ES100278.xml,edemas bimaleolares,492,511,B-Grp_Enfermedad
74,ES100278.xml,afectación,2591,2601,B-Grp_Enfermedad
75,ES100278.xml,depósito,3023,3031,B-Grp_Enfermedad
76,ES100578.xml,varices esofágicas,801,819,B-Grp_Enfermedad
77,ES100587.xml,Amigdalitis de repetición,128,153,B-Grp_Enfermedad
