,file,id_event,string,begin,end,ALINK,TLINK,contextualAspect,contextualModality,degree,docTimeRel,eventType,permanence,polarity
0,ES100447.xml,4417,derivación,59,69,0.0,0,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
4,ES100447.xml,4489,tratamiento,203,214,0.0,5586,0.0,ACTUAL,0,OVERLAP,0,FINITE,POS
6,ES100447.xml,4523,actividad,276,285,0.0,5416,0.0,ACTUAL,0,OVERLAP,0,FINITE,POS
7,ES100447.xml,4540,pieloinfundibulonefrolitotomía,349,379,0.0,5422,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
9,ES100447.xml,4585,remitido,450,458,0.0,0,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
10,ES100447.xml,4604,ceguera,491,498,0.0,5434,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
11,ES100447.xml,4621,refería,553,560,0.0,5612,0.0,ACTUAL,0,BEFORE,EVIDENTIAL,FINITE,POS
13,ES100447.xml,4655,exploración,606,617,0.0,5618 5621,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
15,ES100447.xml,4697,examen,671,677,0.0,5638,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
16,ES100447.xml,4714,mostraba,703,711,0.0,0,0.0,ACTUAL,0,BEFORE,EVIDENTIAL,FINITE,POS
19,ES100447.xml,4767,manchas,757,764,0.0,5470,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
20,ES100447.xml,4784,observar,806,814,0.0,5644,0.0,ACTUAL,0,BEFORE,EVIDENTIAL,FINITE,POS
21,ES100447.xml,4801,punteado,832,840,0.0,5628 5631,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
22,ES100447.xml,4818,tinción,876,883,0.0,0,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
23,ES100447.xml,4837,test,908,912,0.0,5650 5653,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
25,ES100447.xml,4873,observaron,945,955,0.0,0,0.0,ACTUAL,0,BEFORE,EVIDENTIAL,FINITE,POS
26,ES100447.xml,4892,apreció,1005,1012,0.0,5660,0.0,ACTUAL,0,BEFORE,EVIDENTIAL,FINITE,POS
29,ES100447.xml,4943,nivel,1082,1087,0.0,5666,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
