,file,string,begin,end,type
1,ES100569.xml,hipocondrio derecho,127,146,B-Estructura_Corporal
2,ES100569.xml,hepático,231,239,B-Estructura_Corporal
3,ES100569.xml,abdominal,286,295,B-Estructura_Corporal
6,ES100569.xml,segmentos 4-5 hepáticos,442,465,B-Estructura_Corporal
7,ES100569.xml,hilio hepático,504,518,B-Estructura_Corporal
9,ES100569.xml,hilio hepático,709,723,B-Estructura_Corporal
10,ES100569.xml,bifurcación portal,758,776,B-Estructura_Corporal
11,ES100569.xml,vena suprahepática media,782,806,B-Estructura_Corporal
13,ES100789.xml,dolor,54,59,B-Grp_Enfermedad
15,ES100789.xml,columna vertebral lumbar,163,187,B-Estructura_Corporal
16,ES100789.xml,fentanilo,217,226,B-Grp_Medicamento
17,ES100789.xml,dolor,305,310,B-Grp_Enfermedad
18,ES100789.xml,fentanilo genérico,380,398,B-Grp_Medicamento
19,ES100789.xml,dolor,485,490,B-Grp_Enfermedad
26,ES100848.xml,pilar amigdalino,192,208,B-Estructura_Corporal
29,ES100848.xml,submaxilares,359,371,B-Estructura_Corporal
31,ES100848.xml,orofaringe,545,555,B-Estructura_Corporal
32,ES100848.xml,Estadio IVa,568,579,B-Calificador
41,ES100848.xml,esófago distal,1252,1266,B-Estructura_Corporal
42,ES100848.xml,cardias,1274,1281,B-Estructura_Corporal
43,ES100848.xml,curvatura mayor,1298,1313,B-Estructura_Corporal
44,ES100848.xml,cara anterior,1316,1329,B-Estructura_Corporal
45,ES100848.xml,estómago,1345,1353,B-Estructura_Corporal
48,ES100848.xml,carcinoma,1440,1449,B-Grp_Enfermedad
49,ES100848.xml,laringe,1453,1460,B-Estructura_Corporal
50,ES100848.xml,somatostatina,1555,1568,B-Grp_Medicamento
52,ES100848.xml,digestiva,1775,1784,B-Estructura_Corporal
53,ES100848.xml,sangrado,1832,1840,B-Grp_Enfermedad
60,ES100098.xml,suprapúbica,434,445,B-Estructura_Corporal
61,ES100098.xml,vesical,545,552,B-Estructura_Corporal
63,ES100098.xml,vejiga,604,610,B-Estructura_Corporal
64,ES100098.xml,polipoideas parietales,667,689,B-Grp_Enfermedad
