,file,string,begin,end,type
307,ES100447.xml,obesidad mórbida,104,120,B-Grp_Enfermedad
308,ES100447.xml,esteatosis hepática,147,166,B-Grp_Enfermedad
309,ES100447.xml,síndrome malabsortivo,172,193,B-Grp_Enfermedad
310,ES100447.xml,anemia crónica,236,250,B-Grp_Enfermedad
312,ES100447.xml,fístula urinaria,384,400,B-Grp_Enfermedad
314,ES100447.xml,sensación de cuerpo extraño,561,588,B-Grp_Enfermedad
316,ES100447.xml,agudeza visual,621,635,B-Estructura_Corporal
318,ES100447.xml,BUT muy disminuido,715,733,B-Grp_Enfermedad
319,ES100447.xml,xerosis conjuntival,735,754,B-Grp_Enfermedad
323,ES100447.xml,anestesia,932,941,B-Grp_Medicamento
324,ES100447.xml,moteado blanquecino,1016,1035,B-Grp_Enfermedad
325,ES100447.xml,afectación macular,1059,1077,B-Grp_Enfermedad
328,ES100447.xml,nefrolitiasis complicada,1405,1429,B-Grp_Enfermedad
329,ES100447.xml,absceso intrarrenal,1431,1450,B-Grp_Enfermedad
330,ES100447.xml,sangrado intenso,1499,1515,B-Grp_Enfermedad
331,ES100447.xml,concentrados de hematíes,1536,1560,B-Grp_Medicamento
1450,ES100686.xml,masa pedunculada,217,233,B-Grp_Enfermedad
1453,ES100686.xml,lesión,344,350,B-Grp_Enfermedad
1454,ES100686.xml,estrabismo,364,374,B-Grp_Enfermedad
2468,ES100526.xml,deformidad peneana,45,63,B-Grp_Enfermedad
2471,ES100526.xml,dolor espontáneo,317,333,B-Grp_Enfermedad
2472,ES100526.xml,irregularidades,516,531,B-Grp_Enfermedad
2473,ES100526.xml,dolorosas,596,605,B-Calificador
2474,ES100526.xml,tumores blandos,617,632,B-Grp_Enfermedad
2476,ES100526.xml,problema,811,819,B-Grp_Enfermedad
2477,ES100526.xml,linfedema,918,927,B-Grp_Enfermedad
2481,ES100526.xml,deformidad,1111,1121,B-Grp_Enfermedad
2482,ES100526.xml,anestesia,1153,1162,B-Grp_Medicamento
2487,ES100526.xml,tumoraciones,1433,1445,B-Grp_Enfermedad
2489,ES100526.xml,lesiones,1859,1867,B-Grp_Enfermedad
2490,ES100526.xml,glóbulos,1889,1897,B-Grp_Enfermedad
2519,ES100042.xml,hipertensión arterial,65,86,B-Grp_Enfermedad
2520,ES100042.xml,hernia de hiato,88,103,B-Grp_Enfermedad
2521,ES100042.xml,estreñimiento,105,118,B-Grp_Enfermedad
2522,ES100042.xml,síndrome miccional irritativo,152,181,B-Grp_Enfermedad
2523,ES100042.xml,disuria,218,225,B-Grp_Enfermedad
2524,ES100042.xml,polaquiuria intensas,228,248,B-Grp_Enfermedad
2525,ES100042.xml,infección,385,394,B-Grp_Enfermedad
2527,ES100042.xml,sanguínea,520,530,B-Grp_Enfermedad
2528,ES100042.xml,intensa,599,608,B-Calificador
2538,ES100042.xml,infección urinaria,1171,1183,B-Grp_Enfermedad
2539,ES100042.xml,escasa respuesta encontrada,1200,1219,B-Calificador
2540,ES100042.xml,intravenosa,1279,1288,B-Estructura_Corporal
2541,ES100042.xml,tumor urotelial,1306,1321,B-Grp_Enfermedad
2543,ES100042.xml,lesiones nodulares,1489,1506,B-Grp_Enfermedad
2553,ES100042.xml,ulceración,2185,2191,B-Grp_Enfermedad
2556,ES100042.xml,congestión vascular,2263,2275,B-Grp_Enfermedad
2559,ES100042.xml,folículos linfoides,2344,2367,B-Grp_Enfermedad
2565,ES100042.xml,profilaxis antibiótica,2735,2747,B-Grp_Medicamento
772,ES100650.xml,masa,308,312,B-Grp_Enfermedad
775,ES100650.xml,masa dependiente,510,526,B-Grp_Enfermedad
782,ES100650.xml,masa pélvica,773,785,B-Grp_Enfermedad
785,ES100650.xml,infiltración,930,942,B-Grp_Enfermedad
787,ES100650.xml,ascitis,963,970,B-Grp_Enfermedad
788,ES100650.xml,adenomegalias,974,987,B-Grp_Enfermedad
789,ES100650.xml,mucocele,1068,1076,B-Grp_Enfermedad
790,ES100650.xml,líquido libre,1120,1133,B-Grp_Enfermedad
794,ES100650.xml,mucocele,1484,1492,B-Grp_Enfermedad
795,ES100650.xml,tumor mucinoso,1506,1520,B-Grp_Enfermedad
796,ES100650.xml,calcificación parietal,1632,1654,B-Grp_Enfermedad
798,ES100650.xml,neoplasia,1744,1753,B-Grp_Enfermedad
400,ES100320.xml,tos seca,84,92,B-Grp_Enfermedad
401,ES100320.xml,disnea de intensidad progresiva,94,125,B-Grp_Enfermedad
402,ES100320.xml,fiebre,127,133,B-Grp_Enfermedad
403,ES100320.xml,astenia,135,142,B-Grp_Enfermedad
404,ES100320.xml,anorexia,144,152,B-Grp_Enfermedad
405,ES100320.xml,náuseas,154,161,B-Grp_Enfermedad
406,ES100320.xml,vómitos,164,171,B-Grp_Enfermedad
407,ES100320.xml,infección,195,204,B-Grp_Enfermedad
410,ES100320.xml,caquexia,331,339,B-Grp_Enfermedad
411,ES100320.xml,muguet,399,405,B-Grp_Enfermedad
412,ES100320.xml,acropaquias,407,418,B-Grp_Enfermedad
413,ES100320.xml,adenopatías cervicales bilaterales menores,420,462,B-Grp_Enfermedad
415,ES100320.xml,Disminución generalizada del murmullo vesicular,506,553,B-Grp_Enfermedad
416,ES100320.xml,crepitantes bibasales,556,577,B-Grp_Enfermedad
417,ES100320.xml,soplo sistólico,579,594,B-Grp_Enfermedad
419,ES100320.xml,hepatomegalia,612,625,B-Grp_Enfermedad
421,ES100320.xml,condilomas vulvares,652,671,B-Grp_Enfermedad
423,ES100320.xml,segmentados,844,855,B-Estructura_Corporal
424,ES100320.xml,linfocitos,861,871,B-Estructura_Corporal
427,ES100320.xml,masa mediastínica anterior derecha,1103,1137,B-Grp_Enfermedad
429,ES100320.xml,infiltrado alveolo-intersticial bilateral,1178,1219,B-Grp_Enfermedad
434,ES100320.xml,adenopatías axilares bilaterales,1326,1358,B-Grp_Enfermedad
436,ES100320.xml,masa mediastínica,1386,1403,B-Grp_Enfermedad
439,ES100320.xml,engrosamiento,1492,1505,B-Grp_Enfermedad
441,ES100320.xml,líquido libre,1560,1573,B-Grp_Enfermedad
445,ES100320.xml,insuficiencia respiratoria progresiva,1771,1808,B-Grp_Enfermedad
447,ES100320.xml,crisis tónico-clónica,2002,2023,B-Grp_Enfermedad
448,ES100320.xml,hemiparesia izquierda,2048,2069,B-Grp_Enfermedad
450,ES100320.xml,masa,2118,2122,B-Grp_Enfermedad
