file,B/M,heidel,heidel_type,corpus,corpus_type
ES100447.xml,BIEN,enero de 2004,DATE,enero de 2004,DATE
ES100447.xml,BIEN,enero de 2006,DATE,enero de 2006,DATE
ES100447.xml,BIEN,3 meses,DURATION,3 meses,DURATION
ES100447.xml,BIEN,tres meses,DURATION,tres meses,DURATION
ES100526.xml,BIEN,los 4 meses,DURATION,los 4 meses,DURATION
ES100042.xml,BIEN,8 meses,DURATION,8 meses,DURATION
ES100042.xml,BIEN,los últimos 6 meses,DURATION,los últimos 6 meses,DURATION
ES100042.xml,BIEN,los 3 meses,DURATION,los 3 meses,DURATION
ES100042.xml,BIEN,3 meses,DURATION,3 meses,DURATION
ES100042.xml,BIEN,6 meses,DURATION,6 meses,DURATION
ES100042.xml,BIEN,diaria,SET,diaria,SET
ES100042.xml,BIEN,6 meses,DURATION,6 meses,DURATION
ES100042.xml,BIEN,45 días,DURATION,45 días,DURATION
ES100042.xml,BIEN,45 días,DURATION,45 días,DURATION
ES100042.xml,BIEN,Actualmente,DATE,Actualmente,DATE
ES100650.xml,BIEN,3 años,DURATION,3 años,DURATION
ES100320.xml,BIEN,15 días,DURATION,15 días,DURATION
ES100320.xml,BIEN,varias semanas,DURATION,varias semanas,DURATION
ES100280.xml,BIEN,los 5 años,DURATION,los 5 años,DURATION
ES100519.xml,BIEN,los 15 días,DURATION,los 15 días,DURATION
ES100519.xml,BIEN,los 20 días,DURATION,los 20 días,DURATION
ES100519.xml,BIEN,Dos meses,DURATION,Dos meses,DURATION
ES100727.xml,BIEN,los 10 días,DURATION,los 10 días,DURATION
ES100727.xml,BIEN,Actualmente,DATE,Actualmente,DATE
ES100848.xml,BIEN,noviembre de 2005,DATE,noviembre de 2005,DATE
ES100848.xml,BIEN,marzo de 2007,DATE,marzo de 2007,DATE
ES100079.xml,BIEN,3 meses,DURATION,3 meses,DURATION
ES100079.xml,BIEN,Actualmente,DATE,Actualmente,DATE
ES100079.xml,BIEN,20 meses,DURATION,20 meses,DURATION
ES100737.xml,BIEN,10 días,DURATION,10 días,DURATION
ES100737.xml,BIEN,los diez días,DURATION,los diez días,DURATION
ES100737.xml,BIEN,la actualidad,DATE,la actualidad,DATE
ES100521.xml,BIEN,11 días,DURATION,11 días,DURATION
ES100521.xml,BIEN,21 días,DURATION,21 días,DURATION
ES100521.xml,BIEN,7 semanas,DURATION,7 semanas,DURATION
ES100521.xml,BIEN,diarios,SET,diarios,SET
ES100521.xml,BIEN,20 días,DURATION,20 días,DURATION
ES100521.xml,BIEN,diarios,SET,diarios,SET
ES100521.xml,BIEN,5 minutos,DURATION,5 minutos,DURATION
