,Unnamed: 0,file,string,begin,end,value,timex3Class
6,8,ES100686.xml,Cinco días más tarde,379,399,XXXX-XX-XX,DATE
13,16,ES100042.xml,días antes,1118,1128,PXD,DURATION
14,17,ES100042.xml,días consecutivos,1916,1933,XXXX-XX-XX,DATE
17,20,ES100042.xml,días alternos,2837,2850,P2D,SET
22,25,ES100042.xml,días alternos,2978,2991,P2D,SET
24,27,ES100042.xml,del tercer mes,3196,3210,XXXX-XX,DATE
27,31,ES100650.xml,el 5º día postoperatorio,1319,1343,XXXX-XX-XX,DATE
30,34,ES100320.xml,los días siguientes,1851,1870,PXD,DURATION
31,35,ES100320.xml,tres semanas más tarde,2321,2343,XXXX-XX-XX,DATE
34,38,ES100280.xml,Seis meses después,448,466,XXXX-XX-XX,DATE
35,39,ES100280.xml,poco después,826,838,FUTURE_REF,DATE
36,40,ES100519.xml,4 días antes,281,293,XXXX-XX-XX,DATE
37,41,ES100519.xml,ese momento,344,355,XXXX-XX-XX,DATE
41,45,ES100519.xml,El sexto día postingreso,1774,1798,XXXX-XX-XX,DATE
50,58,ES100848.xml,1,824,825,XXXX-XX-XX,DATE
51,59,ES100848.xml,5,828,829,XXXX-XX-XX,DATE
52,60,ES100848.xml,21,832,834,XXXX-XX-XX,DATE
53,61,ES100848.xml,25,837,839,XXXX-XX-XX,DATE
62,70,ES100737.xml,vespertino,227,237,XXXX-XX-XXTEV,TIME
65,73,ES100521.xml,14 años antes,76,89,XXXX-XX-XX,DATE
72,80,ES100521.xml,las primeras 48h,1869,1885,PT48H,DURATION
74,82,ES100521.xml,2,1977,1978,PT2M,DURATION
75,83,ES100521.xml,La primera semana,1996,2013,XXXX-WXX,DATE
77,85,ES100521.xml,3 veces por semana,2334,2352,P1W,SET
79,87,ES100521.xml,4 meses y medio,3188,3203,P4.5M,DURATION
82,90,ES100284.xml,siete meses antes,103,120,XXXX-XX-XX,DATE
83,91,ES100284.xml,ese periodo,182,193,P7M,DURATION
86,94,ES100284.xml,3 meses más tarde,1552,1569,XXXX-XX-XX,DATE
89,97,ES100736.xml,dicho periodo de tiempo,357,380,P8M,DURATION
94,103,ES100736.xml,al cuarto día,3152,3165,XXXX-XX-XX,DATE
95,104,ES100736.xml,las semanas sucesivas,3297,3318,PXW,DURATION
102,114,ES100091.xml,cada 34 horas,638,652,None,SET
104,116,ES100278.xml,el momento,286,296,XXXX-XX-XXTXX,TIME
117,131,ES100631.xml,4º mes,2926,2932,2017-04,DATE
118,132,ES100631.xml,la fecha actual,2984,2999,2018-12-01,DATE
128,147,ES100778.xml,cada 30 minutos,770,785,T30M,SET
129,148,ES100778.xml,las 4 am,789,798,XXXX-XX-XXT04,TIME
131,150,ES100778.xml,24 h más tarde,1548,1562,PT24H,DURATION
140,159,ES100797.xml,2 años,127,133,P2Y,DURATION
