,file,string,begin,end,value,timex3Class
0,ES100447.xml,50 años,9,16,P50Y,DURATION
7,ES100686.xml,6 meses,193,200,P6M,DURATION
8,ES100686.xml,Cinco días,379,389,P5D,DURATION
10,ES100526.xml,34 años,12,19,P34Y,DURATION
13,ES100042.xml,70 años,36,43,P70Y,DURATION
17,ES100042.xml,la mañana,1903,1912,XXXX-XX-XXTMO,TIME
27,ES100650.xml,47 años,9,16,P47Y,DURATION
28,ES100650.xml,próxima,858,865,FUTURE_REF,DATE
30,ES100320.xml,27 años,9,16,P27Y,DURATION
32,ES100320.xml,reciente,216,224,PAST_REF,DATE
33,ES100320.xml,tres semanas,2321,2333,P3W,DURATION
36,ES100280.xml,Seis meses,448,458,P6M,DURATION
37,ES100519.xml,77 años,9,16,P77Y,DURATION
38,ES100519.xml,4 días,281,287,P4D,DURATION
45,ES100519.xml,diaria,3533,3539,P1D,SET
46,ES100727.xml,16 años,19,26,P16Y,DURATION
50,ES100848.xml,55 años,9,16,P55Y,DURATION
55,ES100445.xml,11 años y 10 meses,8,26,P11Y10M,DURATION
56,ES100445.xml,los 2 años,322,332,P2Y,DURATION
57,ES100445.xml,actual,928,934,PRESENT_REF,DATE
58,ES100445.xml,11 años y 10 meses,938,956,P11Y10M,DURATION
59,ES100079.xml,56 años,12,19,P56Y,DURATION
64,ES100737.xml,5 años y 7 meses,12,28,P5Y7M,DURATION
69,ES100051.xml,67 años,18,25,P67Y,DURATION
70,ES100521.xml,31 años,9,16,P31Y,DURATION
71,ES100521.xml,14 años,76,83,P14Y,DURATION
81,ES100521.xml,4 meses,3188,3195,P4M,DURATION
84,ES100284.xml,25 años,16,23,P25Y,DURATION
85,ES100284.xml,siete meses,103,114,P7M,DURATION
88,ES100284.xml,3 meses,1552,1559,P3M,DURATION
89,ES100736.xml,20 años,24,31,P20Y,DURATION
97,ES100050.xml,19 años,12,19,P19Y,DURATION
99,ES100642.xml,73 años,9,16,P73Y,DURATION
101,ES100091.xml,58 años,12,19,P58Y,DURATION
105,ES100091.xml,4 horas,645,652,PT4H,DURATION
107,ES100278.xml,40 años,6,13,P40Y,DURATION
110,ES100791.xml,53 años,18,25,P53Y,DURATION
112,ES100578.xml,52 años,9,16,P52Y,DURATION
113,ES100578.xml,1970,605,609,1970,DATE
116,ES100587.xml,29 años,15,22,P29Y,DURATION
117,ES100587.xml,los 6 años,187,197,P6Y,DURATION
119,ES100182.xml,75 años,9,16,P75Y,DURATION
120,ES100633.xml,46 años,9,16,P46Y,DURATION
123,ES100633.xml,al día,649,655,P1D,SET
125,ES100631.xml,43 años,9,16,P43Y,DURATION
127,ES100631.xml,1840,580,584,1840,DATE
130,ES100631.xml,actual,2993,2999,PRESENT_REF,DATE
134,ES100962.xml,20 años,39,46,P20Y,DURATION
