,file,string,begin,end,value,timex3Class
0,ES100447.xml,enero de 2004,41,54,2004-01,DATE
1,ES100447.xml,enero de 2006,317,330,2006-01,DATE
3,ES100447.xml,abril de 2006,421,434,2006-01,DATE
4,ES100447.xml,3 meses,525,532,P3M,DURATION
6,ES100447.xml,tres meses,1901,1911,P3M,DURATION
7,ES100686.xml,el siguiente mes,131,147,P1M,DURATION
8,ES100686.xml,Cinco días más tarde,379,399,XXXX-XX-XX,DATE
9,ES100686.xml,intervalos de cuatro semanas,494,522,P4W,DURATION
11,ES100526.xml,el término de 8 meses,132,153,P8M,DURATION
12,ES100526.xml,los 4 meses,259,270,P4M,DURATION
13,ES100042.xml,8 meses,194,201,P8M,DURATION
14,ES100042.xml,los últimos 6 meses,333,352,P6M,DURATION
15,ES100042.xml,los 3 meses,913,924,P3M,DURATION
16,ES100042.xml,días antes,1118,1128,PXD,DURATION
17,ES100042.xml,días consecutivos,1916,1933,XXXX-XX-XX,DATE
18,ES100042.xml,diaria nocturna,2796,2811,P1D,SET
19,ES100042.xml,3 meses,2812,2819,P3M,DURATION
20,ES100042.xml,días alternos,2837,2850,P2D,SET
21,ES100042.xml,6 meses,2859,2866,P6M,DURATION
22,ES100042.xml,diaria,2910,2916,P1D,SET
23,ES100042.xml,6 meses,2917,2924,P6M,DURATION
24,ES100042.xml,45 días,2950,2957,P45D,DURATION
25,ES100042.xml,días alternos,2978,2991,P2D,SET
26,ES100042.xml,45 días,3006,3013,P45D,DURATION
27,ES100042.xml,del tercer mes,3196,3210,XXXX-XX,DATE
28,ES100042.xml,Actualmente,3228,3239,PRESENT_REF,DATE
29,ES100042.xml,al año,3241,3247,XXXX-XX-XX,DURATION
31,ES100650.xml,el 5º día postoperatorio,1319,1343,XXXX-XX-XX,DATE
32,ES100650.xml,3 años,1769,1775,P3Y,DURATION
33,ES100320.xml,15 días,45,52,P15D,DURATION
34,ES100320.xml,los días siguientes,1851,1870,PXD,DURATION
35,ES100320.xml,tres semanas más tarde,2321,2343,XXXX-XX-XX,DATE
36,ES100320.xml,varias semanas,3821,3835,PXW,DURATION
37,ES100280.xml,los 5 años,190,200,P5Y,DURATION
38,ES100280.xml,Seis meses después,448,466,XXXX-XX-XX,DATE
39,ES100280.xml,poco después,826,838,FUTURE_REF,DATE
40,ES100519.xml,4 días antes,281,293,XXXX-XX-XX,DATE
41,ES100519.xml,ese momento,344,355,XXXX-XX-XX,DATE
42,ES100519.xml,las 48 horas,408,420,PT48H,DURATION
43,ES100519.xml,las 24 horas,1454,1466,PT24H,DURATION
44,ES100519.xml,las 48 horas,1577,1589,PT48H,DURATION
45,ES100519.xml,El sexto día postingreso,1774,1798,XXXX-XX-XX,DATE
46,ES100519.xml,los 15 días,2193,2204,P15D,DURATION
47,ES100519.xml,los 20 días,2643,2654,P20D,DURATION
48,ES100519.xml,Dos meses,3261,3270,P2M,DURATION
52,ES100727.xml,los 10 días,2772,2783,P10D,DURATION
54,ES100727.xml,Actualmente,2925,2936,PRESENT_REF,DATE
55,ES100727.xml,3 años de postoperatorio,2967,2991,P3Y,DURATION
56,ES100848.xml,noviembre de 2005,48,65,2005-11,DATE
57,ES100848.xml,120 horas,798,807,PT120H,DURATION
58,ES100848.xml,1,824,825,XXXX-XX-XX,DATE
59,ES100848.xml,5,828,829,XXXX-XX-XX,DATE
60,ES100848.xml,21,832,834,XXXX-XX-XX,DATE
61,ES100848.xml,25,837,839,XXXX-XX-XX,DATE
62,ES100848.xml,marzo de 2007,994,1007,2007-03,DATE
63,ES100848.xml,otros 5 meses,1901,1914,P5M,DURATION
64,ES100079.xml,3 meses,2550,2557,P3M,DURATION
65,ES100079.xml,los 12 meses,2955,2967,P12M,DURATION
66,ES100079.xml,Actualmente,3241,3252,PRESENT_REF,DATE
67,ES100079.xml,20 meses,3271,3279,P20M,DURATION
68,ES100737.xml,12 de junio de 2002,122,141,2002-06-12,DATE
69,ES100737.xml,10 días,169,176,P10D,DURATION
70,ES100737.xml,vespertino,227,237,XXXX-XX-XXTEV,TIME
71,ES100737.xml,los diez días,1768,1781,P10D,DURATION
72,ES100737.xml,la actualidad,1934,1947,PRESENT_REF,DATE
73,ES100521.xml,14 años antes,76,89,XXXX-XX-XX,DATE
74,ES100521.xml,11 días,294,301,P11D,DURATION
75,ES100521.xml,21 días,605,612,P21D,DURATION
76,ES100521.xml,7 semanas,685,694,P7W,DURATION
77,ES100521.xml,diarios,1375,1382,P1D,SET
78,ES100521.xml,20 días,1452,1459,P20D,DURATION
79,ES100521.xml,diarios,1479,1486,P1D,SET
80,ES100521.xml,las primeras 48h,1869,1885,PT48H,DURATION
81,ES100521.xml,5 minutos,1950,1959,PT5M,DURATION
82,ES100521.xml,2,1977,1978,PT2M,DURATION
83,ES100521.xml,La primera semana,1996,2013,XXXX-WXX,DATE
84,ES100521.xml,20 días,2286,2293,P20D,DURATION
85,ES100521.xml,3 veces por semana,2334,2352,P1W,SET
86,ES100521.xml,Una semana,2781,2791,P1W,DURATION
87,ES100521.xml,4 meses y medio,3188,3203,P4.5M,DURATION
88,ES100521.xml,2 semanas,3230,3239,P2M,DURATION
89,ES100521.xml,Seis semanas,3342,3354,P6W,DURATION
90,ES100284.xml,siete meses antes,103,120,XXXX-XX-XX,DATE
91,ES100284.xml,ese periodo,182,193,P7M,DURATION
92,ES100284.xml,dos meses,282,291,P2M,DURATION
93,ES100284.xml,los restantes cinco meses,372,397,P5M,DURATION
94,ES100284.xml,3 meses más tarde,1552,1569,XXXX-XX-XX,DATE
95,ES100736.xml,Septiembre de 2003,49,67,2003-09,DATE
96,ES100736.xml,8 meses,289,296,P8M,DURATION
97,ES100736.xml,dicho periodo de tiempo,357,380,P8M,DURATION
98,ES100736.xml,Mayo de 2004,871,883,2004-05,DATE
99,ES100736.xml,los 2 meses anteriores,1220,1242,P2M,DURATION
100,ES100736.xml,las pocas horas,1396,1411,PTXH,DURATION
101,ES100736.xml,unas 48 horas,1503,1516,PT48H,DURATION
103,ES100736.xml,al cuarto día,3152,3165,XXXX-XX-XX,DATE
104,ES100736.xml,las semanas sucesivas,3297,3318,PXW,DURATION
105,ES100736.xml,un mes,3548,3554,P1M,DURATION
107,ES100050.xml,unos 8 meses,135,147,P8M,DURATION
109,ES100642.xml,Al mes,504,510,P1M,DURATION
110,ES100091.xml,unos 15 días,162,174,P15D,DURATION
111,ES100091.xml,8 años,310,316,P8Y,DURATION
112,ES100091.xml,las últimas dos semanas,368,391,P2W,DURATION
114,ES100091.xml,cada 34 horas,638,652,None,SET
115,ES100091.xml,tres años,2031,2040,P3Y,DURATION
116,ES100278.xml,el momento,286,296,XXXX-XX-XXTXX,TIME
117,ES100278.xml,un plazo de 2 años,2760,2778,P2Y,DURATION
118,ES100278.xml,4 años,2843,2849,P4Y,DURATION
120,ES100791.xml,6 años,113,119,P6Y,DURATION
121,ES100578.xml,las 12 semanas,1009,1023,P12W,DURATION
123,ES100578.xml,las tres semanas,1789,1805,P3W,DURATION
124,ES100587.xml,hace 2 años,549,560,P2Y,DURATION
125,ES100633.xml,7 días,78,84,P7D,DURATION
126,ES100633.xml,los 5 meses,443,454,P5D,DURATION
127,ES100633.xml,24 meses,671,679,P24M,DURATION
