file,id,begin,end
ES100447.xml,"['4292', '4308', '4576', '4317', '4340', '4399', '4408']","['41', '317', '401', '421', '525', '1699', '1901']","['54', '330', '415', '434', '532', '1713', '1911']"
ES100686.xml,"['1742', '1751', '1760', '1769']","['131', '379', '494', '628']","['147', '399', '522', '642']"
ES100526.xml,"['4537', '4404']","['132', '259']","['153', '270']"
ES100042.xml,"['7077', '7086', '7095', '8649', '8794', '8940', '8931', '8951', '7104', '8962', '8973', '7113', '7131', '7122', '7142', '9098', '7153']","['194', '333', '913', '1118', '1916', '2796', '2812', '2837', '2859', '2910', '2917', '2950', '2978', '3006', '3196', '3228', '3241']","['201', '352', '924', '1128', '1933', '2811', '2819', '2850', '2866', '2916', '2924', '2957', '2991', '3013', '3210', '3239', '3247']"
ES100650.xml,"['4407', '4416', '4325']","['1245', '1319', '1769']","['1262', '1343', '1775']"
ES100320.xml,"['8672', '8654', '8663', '8871']","['45', '1851', '2321', '3821']","['52', '1870', '2343', '3835']"
ES100280.xml,"['2096', '2105', '2114']","['190', '448', '826']","['200', '466', '838']"
ES100519.xml,"['8067', '8076', '8085', '8094', '8103', '8212', '8112', '8257', '8278']","['281', '344', '408', '1454', '1577', '1774', '2193', '2643', '3261']","['293', '355', '420', '1466', '1589', '1798', '2204', '2654', '3270']"
ES100727.xml,"['7462', '7384', '8894', '7471', '7395', '7495', '7480']","['1302', '2333', '2553', '2772', '2788', '2925', '2967']","['1317', '2347', '2580', '2783', '2802', '2936', '2991']"
ES100848.xml,"['4368', '4377', '4395', '4406', '4417', '4428', '4386', '4439']","['48', '798', '824', '828', '832', '837', '994', '1901']","['65', '807', '825', '829', '834', '839', '1007', '1914']"
ES100445.xml,[],[],[]
ES100079.xml,"['7407', '9480', '7512', '7416']","['2550', '2955', '3241', '3271']","['2557', '2967', '3252', '3279']"
ES100737.xml,"['4550', '4559', '4631', '4568', '4682']","['122', '169', '227', '1768', '1934']","['141', '176', '237', '1781', '1947']"
ES100051.xml,[],[],[]
ES100521.xml,"['8021', '8030', '8039', '8048', '8161', '8057', '8172', '8122', '8066', '8189', '8075', '8084', '8093', '8204', '8104', '8113', '8280']","['76', '294', '605', '685', '1375', '1452', '1479', '1869', '1950', '1977', '1996', '2286', '2334', '2781', '3188', '3230', '3342']","['89', '301', '612', '694', '1382', '1459', '1486', '1885', '1959', '1978', '2013', '2293', '2352', '2791', '3203', '3239', '3354']"
ES100284.xml,"['4343', '4352', '4361', '4370', '4469']","['103', '182', '282', '372', '1552']","['120', '193', '291', '397', '1569']"
ES100736.xml,"['8062', '8071', '8080', '8089', '8098', '8107', '8116', '8125', '8134', '8143', '8152', '8161']","['49', '289', '357', '871', '1220', '1396', '1503', '3028', '3152', '3297', '3548', '3620']","['67', '296', '380', '883', '1242', '1411', '1516', '3042', '3165', '3318', '3554', '3634']"
ES100050.xml,['2408'],['135'],['147']
ES100642.xml,"['1819', '1828']","['299', '504']","['316', '510']"
ES100091.xml,"['4813', '4822', '4869', '5364', '4831', '4842']","['162', '310', '368', '621', '638', '2031']","['174', '316', '391', '628', '652', '2040']"
ES100278.xml,"['7236', '8960', '7245', '9134']","['286', '2760', '2843', '2935']","['296', '2778', '2849', '2963']"
ES100791.xml,['860'],['113'],['119']
ES100578.xml,"['4845', '6017', '4904']","['1009', '1658', '1789']","['1023', '1671', '1805']"
ES100587.xml,['1734'],['549'],['560']
ES100182.xml,[],[],[]
ES100633.xml,"['1778', '1793', '1814']","['78', '443', '671']","['84', '454', '679']"
ES100631.xml,"['7523', '7541', '7550', '7532', '7682', '7559']","['88', '2675', '2686', '2926', '2984', '3006']","['94', '2681', '2697', '2932', '2999', '3014']"
ES100143.xml,"['1958', '1969']","['700', '758']","['713', '764']"
ES100962.xml,"['4543', '4552', '4642', '4561']","['1712', '1814', '1834', '1912']","['1722', '1824', '1851', '1925']"
ES100552.xml,"['4609', '4618', '4669', '4704']","['65', '200', '1141', '1916']","['72', '212', '1155', '1927']"
ES100778.xml,"['4458', '4467', '4537', '4476', '4546', '4487', '4498', '4507', '4516']","['254', '548', '564', '770', '789', '1024', '1548', '1592', '1726']","['268', '562', '581', '785', '798', '1030', '1562', '1605', '1734']"
ES100803.xml,['814'],['200'],['216']
ES100634.xml,"['1650', '2016', '1671', '1689', '1680']","['73', '482', '526', '604', '640']","['79', '489', '540', '610', '649']"
ES100797.xml,"['8063', '8248', '8263', '8072', '8081', '8092', '8112', '8101', '8123']","['127', '195', '511', '722', '1275', '1596', '1660', '1760', '3327']","['133', '206', '519', '737', '1288', '1601', '1674', '1765', '3338']"
ES100594.xml,"['4768', '4705', '6203']","['54', '1973', '2144']","['66', '1985', '2157']"
ES100423.xml,"['4744', '4753', '4769', '4778', '4787', '4796', '4859']","['255', '280', '434', '548', '598', '775', '1597']","['269', '297', '441', '565', '610', '785', '1603']"
ES100569.xml,"['2438', '2367']","['883', '971']","['900', '981']"
ES100030.xml,"['2124', '2133']","['115', '976']","['129', '987']"
ES100178.xml,"['1893', '1914', '1929', '1938', '1947']","['105', '352', '491', '578', '671']","['118', '361', '508', '585', '685']"
ES100420.xml,"['4524', '4533', '4544', '4553', '4562']","['826', '1322', '1343', '1375', '1523']","['841', '1334', '1349', '1389', '1533']"
ES100363.xml,"['7076', '7085', '7094', '7103', '7112', '7121']","['95', '448', '2573', '2660', '2698', '2915']","['106', '458', '2583', '2666', '2709', '2926']"
