file,id_sentence,sentence_begin,sentence_end,link,pairs_events
ES100447.xml,19,0,121,EVENTTLINKLink,"[['4417', '4436'], ['4417', '4292'], ['4436', '4417'], ['4436', '4292']]"
ES100447.xml,24,122,194,EVENTTLINKLink,"[['4453', '4470'], ['4470', '4453']]"
ES100447.xml,29,195,312,EVENTTLINKLink,"[['4489', '4506'], ['4489', '4523'], ['4506', '4489'], ['4506', '4523'], ['4523', '4489'], ['4523', '4506']]"
ES100447.xml,34,314,416,EVENTTLINKLink,"[['4540', '4557'], ['4540', '4308'], ['4540', '4576'], ['4557', '4540'], ['4557', '4308'], ['4557', '4576']]"
ES100447.xml,39,418,533,EVENTTLINKLink,"[['4585', '4604'], ['4585', '4317'], ['4585', '4340'], ['4604', '4585'], ['4604', '4317'], ['4604', '4340']]"
ES100447.xml,44,534,600,EVENTTLINKLink,"[['4621', '4638'], ['4638', '4621']]"
ES100447.xml,49,601,667,EVENTTLINKLink,"[['4655', '4672'], ['4672', '4655']]"
ES100447.xml,54,668,788,EVENTTLINKLink,"[['4697', '4714'], ['4697', '4733'], ['4697', '4750'], ['4697', '4767'], ['4714', '4697'], ['4714', '4733'], ['4714', '4750'], ['4714', '4767'], ['4733', '4697'], ['4733', '4714'], ['4733', '4750'], ['4733', '4767'], ['4750', '4697'], ['4750', '4714'], ['4750', '4733'], ['4750', '4767'], ['4767', '4697'], ['4767', '4714'], ['4767', '4733'], ['4767', '4750']]"
ES100447.xml,59,789,901,EVENTTLINKLink,"[['4784', '4801'], ['4784', '4818'], ['4801', '4784'], ['4801', '4818'], ['4818', '4784'], ['4818', '4801']]"
ES100447.xml,64,902,981,EVENTTLINKLink,"[['4837', '4854'], ['4837', '4873'], ['4854', '4837'], ['4854', '4873'], ['4873', '4837'], ['4873', '4854']]"
ES100447.xml,69,982,1078,EVENTTLINKLink,"[['4892', '4909'], ['4892', '4926'], ['4909', '4892'], ['4909', '4926'], ['4926', '4892'], ['4926', '4909']]"
ES100447.xml,79,1160,1372,EVENTTLINKLink,"[['4943', '4960'], ['4943', '4979'], ['4943', '4996'], ['4943', '5019'], ['4943', '5038'], ['4943', '5057'], ['4943', '5074'], ['4943', '5093'], ['4960', '4943'], ['4960', '4979'], ['4960', '4996'], ['4960', '5019'], ['4960', '5038'], ['4960', '5057'], ['4960', '5074'], ['4960', '5093'], ['4979', '4943'], ['4979', '4960'], ['4979', '4996'], ['4979', '5019'], ['4979', '5038'], ['4979', '5057'], ['4979', '5074'], ['4979', '5093'], ['4996', '4943'], ['4996', '4960'], ['4996', '4979'], ['4996', '5019'], ['4996', '5038'], ['4996', '5057'], ['4996', '5074'], ['4996', '5093'], ['5019', '4943'], ['5019', '4960'], ['5019', '4979'], ['5019', '4996'], ['5019', '5038'], ['5019', '5057'], ['5019', '5074'], ['5019', '5093'], ['5038', '4943'], ['5038', '4960'], ['5038', '4979'], ['5038', '4996'], ['5038', '5019'], ['5038', '5057'], ['5038', '5074'], ['5038', '5093'], ['5057', '4943'], ['5057', '4960'], ['5057', '4979'], ['5057', '4996'], ['5057', '5019'], ['5057', '5038'], ['5057', '5074'], ['5057', '5093'], ['5074', '4943'], ['5074', '4960'], ['5074', '4979'], ['5074', '4996'], ['5074', '5019'], ['5074', '5038'], ['5074', '5057'], ['5074', '5093'], ['5093', '4943'], ['5093', '4960'], ['5093', '4979'], ['5093', '4996'], ['5093', '5019'], ['5093', '5038'], ['5093', '5057'], ['5093', '5074']]"
ES100447.xml,84,1374,1561,EVENTTLINKLink,"[['5112', '5129'], ['5112', '5148'], ['5112', '5165'], ['5112', '5184'], ['5129', '5112'], ['5129', '5148'], ['5129', '5165'], ['5129', '5184'], ['5148', '5112'], ['5148', '5129'], ['5148', '5165'], ['5148', '5184'], ['5165', '5112'], ['5165', '5129'], ['5165', '5148'], ['5165', '5184'], ['5184', '5112'], ['5184', '5129'], ['5184', '5148'], ['5184', '5165']]"
ES100447.xml,89,1562,1714,EVENTTLINKLink,"[['5203', '5220'], ['5203', '5239'], ['5203', '5256'], ['5203', '5273'], ['5203', '5290'], ['5203', '4399'], ['5220', '5203'], ['5220', '5239'], ['5220', '5256'], ['5220', '5273'], ['5220', '5290'], ['5220', '4399'], ['5239', '5203'], ['5239', '5220'], ['5239', '5256'], ['5239', '5273'], ['5239', '5290'], ['5239', '4399'], ['5256', '5203'], ['5256', '5220'], ['5256', '5239'], ['5256', '5273'], ['5256', '5290'], ['5256', '4399'], ['5273', '5203'], ['5273', '5220'], ['5273', '5239'], ['5273', '5256'], ['5273', '5290'], ['5273', '4399'], ['5290', '5203'], ['5290', '5220'], ['5290', '5239'], ['5290', '5256'], ['5290', '5273'], ['5290', '4399']]"
ES100447.xml,94,1716,1927,EVENTTLINKLink,"[['5313', '5330'], ['5313', '5349'], ['5313', '5366'], ['5313', '5385'], ['5313', '4408'], ['5330', '5313'], ['5330', '5349'], ['5330', '5366'], ['5330', '5385'], ['5330', '4408'], ['5349', '5313'], ['5349', '5330'], ['5349', '5366'], ['5349', '5385'], ['5349', '4408'], ['5366', '5313'], ['5366', '5330'], ['5366', '5349'], ['5366', '5385'], ['5366', '4408'], ['5385', '5313'], ['5385', '5330'], ['5385', '5349'], ['5385', '5366'], ['5385', '4408']]"
ES100686.xml,1455,0,148,EVENTTLINKLink,"[['1475', '1490'], ['1475', '1505'], ['1475', '1742'], ['1490', '1475'], ['1490', '1505'], ['1490', '1742'], ['1505', '1475'], ['1505', '1490'], ['1505', '1742']]"
ES100686.xml,1460,150,375,EVENTTLINKLink,"[['1520', '1535'], ['1520', '1550'], ['1520', '1565'], ['1520', '1580'], ['1535', '1520'], ['1535', '1550'], ['1535', '1565'], ['1535', '1580'], ['1550', '1520'], ['1550', '1535'], ['1550', '1565'], ['1550', '1580'], ['1565', '1520'], ['1565', '1535'], ['1565', '1550'], ['1565', '1580'], ['1580', '1520'], ['1580', '1535'], ['1580', '1550'], ['1580', '1565']]"
ES100686.xml,1465,379,611,EVENTTLINKLink,"[['1595', '1613'], ['1595', '1628'], ['1595', '1643'], ['1595', '1658'], ['1595', '1751'], ['1595', '1760'], ['1613', '1595'], ['1613', '1628'], ['1613', '1643'], ['1613', '1658'], ['1613', '1751'], ['1613', '1760'], ['1628', '1595'], ['1628', '1613'], ['1628', '1643'], ['1628', '1658'], ['1628', '1751'], ['1628', '1760'], ['1643', '1595'], ['1643', '1613'], ['1643', '1628'], ['1643', '1658'], ['1643', '1751'], ['1643', '1760'], ['1658', '1595'], ['1658', '1613'], ['1658', '1628'], ['1658', '1643'], ['1658', '1751'], ['1658', '1760']]"
ES100686.xml,1470,615,661,EVENTTLINKLink,"[['1673', '1688'], ['1673', '1769'], ['1688', '1673'], ['1688', '1769']]"
ES100526.xml,19,0,116,EVENTTLINKLink,"[['4467', '4484'], ['4467', '4501'], ['4484', '4467'], ['4484', '4501'], ['4501', '4467'], ['4501', '4484']]"
ES100526.xml,24,117,256,EVENTTLINKLink,"[['4518', '4546'], ['4518', '4537'], ['4546', '4518'], ['4546', '4537']]"
ES100526.xml,29,257,423,EVENTTLINKLink,"[['4563', '4582'], ['4563', '4597'], ['4563', '4614'], ['4563', '4633'], ['4563', '4650'], ['4563', '4669'], ['4563', '4404'], ['4582', '4563'], ['4582', '4597'], ['4582', '4614'], ['4582', '4633'], ['4582', '4650'], ['4582', '4669'], ['4582', '4404'], ['4597', '4563'], ['4597', '4582'], ['4597', '4614'], ['4597', '4633'], ['4597', '4650'], ['4597', '4669'], ['4597', '4404'], ['4614', '4563'], ['4614', '4582'], ['4614', '4597'], ['4614', '4633'], ['4614', '4650'], ['4614', '4669'], ['4614', '4404'], ['4633', '4563'], ['4633', '4582'], ['4633', '4597'], ['4633', '4614'], ['4633', '4650'], ['4633', '4669'], ['4633', '4404'], ['4650', '4563'], ['4650', '4582'], ['4650', '4597'], ['4650', '4614'], ['4650', '4633'], ['4650', '4669'], ['4650', '4404'], ['4669', '4563'], ['4669', '4582'], ['4669', '4597'], ['4669', '4614'], ['4669', '4633'], ['4669', '4650'], ['4669', '4404']]"
ES100526.xml,34,427,606,EVENTTLINKLink,"[['4688', '4705'], ['4688', '4722'], ['4688', '4739'], ['4705', '4688'], ['4705', '4722'], ['4705', '4739'], ['4722', '4688'], ['4722', '4705'], ['4722', '4739'], ['4739', '4688'], ['4739', '4705'], ['4739', '4722']]"
ES100526.xml,39,607,674,EVENTTLINKLink,"[['4758', '4775'], ['4775', '4758']]"
