file,id_sentence,id_tlink,pair,role,type
ES100447.xml,19,-1,[4417 4436],-1,TIMEX3TimexLinkLink
ES100447.xml,19,-1,[4417 4292],-1,TIMEX3TimexLinkLink
ES100447.xml,19,-1,[4436 4417],-1,TIMEX3TimexLinkLink
ES100447.xml,19,5404,[4436 4292],CONTAINS,EVENTTLINKLink
ES100447.xml,24,5576,[4453 4470],OVERLAP,EVENTTLINKLink
ES100447.xml,24,-1,[4470 4453],-1,TIMEX3TimexLinkLink
ES100447.xml,29,-1,[4489 4506],-1,TIMEX3TimexLinkLink
ES100447.xml,29,-1,[4489 4523],-1,TIMEX3TimexLinkLink
ES100447.xml,29,5410,[4506 4489],CONTAINS,EVENTTLINKLink
ES100447.xml,29,-1,[4506 4523],-1,TIMEX3TimexLinkLink
ES100447.xml,29,5416,[4523 4489],CONTAINS,EVENTTLINKLink
ES100447.xml,29,-1,[4523 4506],-1,TIMEX3TimexLinkLink
ES100447.xml,34,5422,[4540 4557],BEFORE,EVENTTLINKLink
ES100447.xml,34,-1,[4540 4308],-1,TIMEX3TimexLinkLink
ES100447.xml,34,-1,[4540 4576],-1,TIMEX3TimexLinkLink
ES100447.xml,34,-1,[4557 4540],-1,TIMEX3TimexLinkLink
ES100447.xml,34,-1,[4557 4308],-1,TIMEX3TimexLinkLink
ES100447.xml,34,-1,[4557 4576],-1,TIMEX3TimexLinkLink
ES100447.xml,39,-1,[4585 4604],-1,TIMEX3TimexLinkLink
ES100447.xml,39,-1,[4585 4317],-1,TIMEX3TimexLinkLink
ES100447.xml,39,-1,[4585 4340],-1,TIMEX3TimexLinkLink
ES100447.xml,39,5434,[4604 4585],CONTAINS,EVENTTLINKLink
ES100447.xml,39,-1,[4604 4317],-1,TIMEX3TimexLinkLink
ES100447.xml,39,-1,[4604 4340],-1,TIMEX3TimexLinkLink
ES100447.xml,44,-1,[4621 4638],-1,TIMEX3TimexLinkLink
ES100447.xml,44,5446,[4638 4621],CONTAINS,EVENTTLINKLink
ES100447.xml,49,5618,[4655 4672],CONTAINS,EVENTTLINKLink
ES100447.xml,49,-1,[4672 4655],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4697 4714],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4697 4733],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4697 4750],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4697 4767],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4714 4697],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4714 4733],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4714 4750],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4714 4767],-1,TIMEX3TimexLinkLink
ES100447.xml,54,5458,[4733 4697],CONTAINS,EVENTTLINKLink
ES100447.xml,54,-1,[4733 4714],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4733 4750],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4733 4767],-1,TIMEX3TimexLinkLink
ES100447.xml,54,5464,[4750 4697],CONTAINS,EVENTTLINKLink
ES100447.xml,54,-1,[4750 4714],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4750 4733],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4750 4767],-1,TIMEX3TimexLinkLink
ES100447.xml,54,5470,[4767 4697],CONTAINS,EVENTTLINKLink
ES100447.xml,54,-1,[4767 4714],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4767 4733],-1,TIMEX3TimexLinkLink
ES100447.xml,54,-1,[4767 4750],-1,TIMEX3TimexLinkLink
ES100447.xml,59,-1,[4784 4801],-1,TIMEX3TimexLinkLink
ES100447.xml,59,-1,[4784 4818],-1,TIMEX3TimexLinkLink
ES100447.xml,59,5628,[4801 4784],CONTAINS,EVENTTLINKLink
ES100447.xml,59,5631,[4801 4818],CONTAINS,EVENTTLINKLink
ES100447.xml,59,-1,[4818 4784],-1,TIMEX3TimexLinkLink
