file,id_tlink,id_pairs,role,type
ES100447.xml,5404,"[4436, 4292]",CONTAINS,EVENTTLINKLink
ES100447.xml,5576,"[4453, 4470]",OVERLAP,EVENTTLINKLink
ES100447.xml,5579,"[4453, 4489]",CONTAINS,EVENTTLINKLink
ES100447.xml,5586,"[4489, 4308]",CONTAINS,EVENTTLINKLink
ES100447.xml,5410,"[4506, 4489]",CONTAINS,EVENTTLINKLink
ES100447.xml,5416,"[4523, 4489]",CONTAINS,EVENTTLINKLink
ES100447.xml,5422,"[4540, 4557]",BEFORE,EVENTTLINKLink
ES100447.xml,5434,"[4604, 4585]",CONTAINS,EVENTTLINKLink
ES100447.xml,5612,"[4621, 4655]",BEFORE,EVENTTLINKLink
ES100447.xml,5446,"[4638, 4621]",CONTAINS,EVENTTLINKLink
ES100447.xml,5618,"[4655, 4672]",CONTAINS,EVENTTLINKLink
ES100447.xml,5621,"[4655, 4697]",BEFORE,EVENTTLINKLink
ES100447.xml,5638,"[4697, 4784]",CONTAINS,EVENTTLINKLink
ES100447.xml,5458,"[4733, 4697]",CONTAINS,EVENTTLINKLink
ES100447.xml,5464,"[4750, 4697]",CONTAINS,EVENTTLINKLink
ES100447.xml,5470,"[4767, 4697]",CONTAINS,EVENTTLINKLink
ES100447.xml,5644,"[4784, 4837]",BEFORE,EVENTTLINKLink
ES100447.xml,5628,"[4801, 4784]",CONTAINS,EVENTTLINKLink
ES100447.xml,5631,"[4801, 4818]",CONTAINS,EVENTTLINKLink
ES100447.xml,5650,"[4837, 4892]",BEFORE,EVENTTLINKLink
ES100447.xml,5653,"[4837, 4854]",CONTAINS,EVENTTLINKLink
ES100447.xml,5660,"[4892, 4943]",BEFORE,EVENTTLINKLink
ES100447.xml,5482,"[4909, 4892]",CONTAINS,EVENTTLINKLink
ES100447.xml,5488,"[4926, 4892]",CONTAINS,EVENTTLINKLink
ES100447.xml,5666,"[4943, 4996]",CONTAINS,EVENTTLINKLink
ES100447.xml,5672,"[4996, 4979]",BEGINS-ON,EVENTTLINKLink
ES100447.xml,5675,"[4996, 5057]",OVERLAP,EVENTTLINKLink
ES100447.xml,5678,"[4996, 5112]",OVERLAP,EVENTTLINKLink
ES100447.xml,5681,"[4996, 5019]",OVERLAP,EVENTTLINKLink
ES100447.xml,5684,"[4996, 5038]",OVERLAP,EVENTTLINKLink
ES100447.xml,5687,"[4996, 5093]",CONTAINS,EVENTTLINKLink
ES100447.xml,5500,"[5057, 5074]",BEFORE,EVENTTLINKLink
ES100447.xml,5698,"[5112, 5148]",CONTAINS,EVENTTLINKLink
ES100447.xml,5701,"[5112, 5203]",CONTAINS,EVENTTLINKLink
ES100447.xml,5704,"[5112, 5129]",CONTAINS,EVENTTLINKLink
ES100447.xml,5506,"[5148, 5184]",CONTAINS,EVENTTLINKLink
ES100447.xml,5509,"[5148, 5165]",CONTAINS,EVENTTLINKLink
ES100447.xml,5712,"[5203, 5313]",BEFORE,EVENTTLINKLink
ES100447.xml,5715,"[5203, 5256]",BEFORE,EVENTTLINKLink
ES100447.xml,5718,"[5203, 5220]",BEFORE,EVENTTLINKLink
ES100447.xml,5516,"[5239, 5220]",CONTAINS,EVENTTLINKLink
ES100447.xml,5522,"[5273, 5256]",ENDS-ON,EVENTTLINKLink
ES100447.xml,5528,"[5290, 5256]",CONTAINS,EVENTTLINKLink
ES100447.xml,5540,"[5313, 5330]",BEFORE,EVENTTLINKLink
ES100447.xml,5546,"[5349, 5366]",CONTAINS,EVENTTLINKLink
ES100447.xml,5549,"[5349, 5313]",CONTAINS,EVENTTLINKLink
ES100447.xml,5552,"[5349, 4408]",CONTAINS,EVENTTLINKLink
ES100686.xml,1991,"[1520, 1535]",SIMULTANEOUS,EVENTTLINKLink
ES100686.xml,1994,"[1520, 1580]",CONTAINS,EVENTTLINKLink
ES100686.xml,1997,"[1520, 1550]",CONTAINS,EVENTTLINKLink
ES100686.xml,2000,"[1520, 1565]",SIMULTANEOUS,EVENTTLINKLink
ES100686.xml,2003,"[1520, 1751]",CONTAINS,EVENTTLINKLink
ES100686.xml,2006,"[1520, 1742]",CONTAINS,EVENTTLINKLink
ES100686.xml,1954,"[1613, 1595]",BEGINS-ON,EVENTTLINKLink
ES100686.xml,1965,"[1628, 1643]",BEFORE,EVENTTLINKLink
ES100686.xml,1968,"[1628, 1595]",BEGINS-ON,EVENTTLINKLink
ES100686.xml,1975,"[1643, 1658]",CONTAINS,EVENTTLINKLink
ES100526.xml,5668,"[4467, 4518]",BEFORE,EVENTTLINKLink
ES100526.xml,5464,"[4484, 4467]",CONTAINS,EVENTTLINKLink
ES100526.xml,5470,"[4501, 4484]",BEFORE,EVENTTLINKLink
ES100526.xml,5482,"[4546, 4518]",BEFORE,EVENTTLINKLink
ES100526.xml,5674,"[4582, 4688]",BEFORE,EVENTTLINKLink
ES100526.xml,5677,"[4582, 4518]",BEFORE,EVENTTLINKLink
ES100526.xml,5510,"[4597, 4650]",CONTAINS,EVENTTLINKLink
ES100526.xml,5513,"[4597, 4669]",CONTAINS,EVENTTLINKLink
ES100526.xml,5516,"[4597, 4582]",BEGINS-ON,EVENTTLINKLink
ES100526.xml,5519,"[4597, 4633]",CONTAINS,EVENTTLINKLink
ES100526.xml,5504,"[4633, 4614]",CONTAINS,EVENTTLINKLink
ES100526.xml,5684,"[4688, 4758]",CONTAINS,EVENTTLINKLink
ES100526.xml,5687,"[4688, 4722]",CONTAINS,EVENTTLINKLink
ES100526.xml,5528,"[4705, 4722]",CONTAINS,EVENTTLINKLink
ES100526.xml,5534,"[4722, 4739]",SIMULTANEOUS,EVENTTLINKLink
ES100526.xml,5694,"[4758, 4792]",BEFORE,EVENTTLINKLink
ES100526.xml,5540,"[4775, 4758]",CONTAINS,EVENTTLINKLink
ES100526.xml,5700,"[4792, 4879]",BEFORE,EVENTTLINKLink
ES100526.xml,5703,"[4792, 4843]",BEFORE,EVENTTLINKLink
ES100526.xml,5546,"[4809, 4826]",BEFORE,EVENTTLINKLink
ES100526.xml,5552,"[4826, 4843]",BEFORE,EVENTTLINKLink
ES100526.xml,5558,"[4862, 4843]",CONTAINS,EVENTTLINKLink
