,precision,recall,f1-score,support,batch_size,model
0,0.7128712871287128,0.7718223583460949,0.7411764705882352,653.0,8,roberta
1,0.5391705069124424,0.6341463414634146,0.5828144458281446,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.5882352941176471,0.32967032967032966,0.4225352112676056,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.0,0.0,0.0,28.0,8,roberta
6,0.24489795918367346,0.2926829268292683,0.26666666666666666,41.0,8,roberta
weighted avg,0.5866471358879752,0.628525382755842,0.6030868681413283,1241.0,8,roberta
0,0.7993311036789298,0.7320061255742726,0.7641886490807355,653.0,8,roberta
1,0.5299806576402321,0.7425474254742548,0.6185101580135441,369.0,8,roberta
2,1.0,0.05263157894736842,0.1,38.0,8,roberta
3,0.5625,0.3956043956043956,0.4645161290322581,91.0,8,roberta
4,1.0,0.047619047619047616,0.0909090909090909,21.0,8,roberta
5,0.21739130434782608,0.17857142857142858,0.19607843137254902,28.0,8,roberta
6,0.3055555555555556,0.2682926829268293,0.28571428571428575,41.0,8,roberta
weighted avg,0.6819728506616468,0.6502820306204674,0.6385414799359076,1241.0,8,roberta
0,0.7565982404692082,0.7901990811638591,0.7730337078651686,653.0,8,roberta
1,0.6102150537634409,0.6151761517615176,0.6126855600539811,369.0,8,roberta
2,1.0,0.18421052631578946,0.3111111111111111,38.0,8,roberta
3,0.4392523364485981,0.5164835164835165,0.4747474747474747,91.0,8,roberta
4,0.42857142857142855,0.14285714285714285,0.21428571428571427,21.0,8,roberta
5,0.34782608695652173,0.2857142857142857,0.3137254901960784,28.0,8,roberta
6,0.3023255813953488,0.3170731707317073,0.30952380952380953,41.0,8,roberta
weighted avg,0.6674733664415126,0.661563255439162,0.6542071033328629,1241.0,8,roberta
0,0.7845911949685535,0.7641653905053599,0.774243599689682,653.0,8,roberta
1,0.5995370370370371,0.7018970189701897,0.6466916354556804,369.0,8,roberta
2,1.0,0.18421052631578946,0.3111111111111111,38.0,8,roberta
3,0.4411764705882353,0.4945054945054945,0.46632124352331605,91.0,8,roberta
4,0.6363636363636364,0.3333333333333333,0.43749999999999994,21.0,8,roberta
5,0.38461538461538464,0.17857142857142858,0.24390243902439027,28.0,8,roberta
6,0.35,0.34146341463414637,0.34567901234567905,41.0,8,roberta
weighted avg,0.6850903649778635,0.6736502820306205,0.6677335594377182,1241.0,8,roberta
0,0.7583173996175908,0.7574484339190222,0.7578826676858398,2618.0,8,roberta
1,0.49879227053140096,0.6201201201201201,0.5528781793842035,1332.0,8,roberta
2,1.0,0.0379746835443038,0.07317073170731708,158.0,8,roberta
3,0.46766169154228854,0.29012345679012347,0.3580952380952381,324.0,8,roberta
4,0.9166666666666666,0.14102564102564102,0.2444444444444444,78.0,8,roberta
5,0.3333333333333333,0.32075471698113206,0.3269230769230769,106.0,8,roberta
6,0.2510460251046025,0.27906976744186046,0.26431718061674003,215.0,8,roberta
weighted avg,0.6458283736984483,0.6238873939143035,0.612441129858624,4831.0,8,roberta
