,precision,recall,f1-score,support,batch_size,model
0,0.6455542021924482,0.8116385911179173,0.7191316146540025,653.0,8,roberta
1,0.45,0.5121951219512195,0.47908745247148293,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.0,0.0,0.0,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.0,0.0,0.0,28.0,8,roberta
6,0.0,0.0,0.0,41.0,8,roberta
weighted avg,0.47348661888128013,0.5793714746172441,0.5208510993803713,1241.0,8,roberta
0,0.7950191570881227,0.6355283307810107,0.7063829787234043,653.0,8,roberta
1,0.45770392749244715,0.8211382113821138,0.5877788554801164,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.8181818181818182,0.0989010989010989,0.17647058823529413,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.18181818181818182,0.07142857142857142,0.10256410256410255,28.0,8,roberta
6,0.2,0.17073170731707318,0.1842105263157895,41.0,8,roberta
weighted avg,0.6251295031174148,0.5930701047542305,0.5678015574203867,1241.0,8,roberta
0,0.7222929936305732,0.8683001531393568,0.7885952712100138,653.0,8,roberta
1,0.628099173553719,0.6178861788617886,0.6229508196721313,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.627906976744186,0.2967032967032967,0.40298507462686567,91.0,8,roberta
4,1.0,0.047619047619047616,0.0909090909090909,21.0,8,roberta
5,0.2777777777777778,0.17857142857142858,0.21739130434782608,28.0,8,roberta
6,0.3225806451612903,0.24390243902439024,0.2777777777777778,41.0,8,roberta
weighted avg,0.6467115543877504,0.6752618855761483,0.6453490271312805,1241.0,8,roberta
0,0.7464788732394366,0.8116385911179173,0.7776962582538518,653.0,8,roberta
1,0.6090225563909775,0.6585365853658537,0.6328125000000001,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.6206896551724138,0.3956043956043956,0.4832214765100671,91.0,8,roberta
4,0.75,0.14285714285714285,0.24,21.0,8,roberta
5,0.23076923076923078,0.21428571428571427,0.22222222222222224,28.0,8,roberta
6,0.25,0.2682926829268293,0.25882352941176473,41.0,8,roberta
weighted avg,0.6455474009797348,0.6680096696212732,0.650435624843099,1241.0,8,roberta
0,0.7178927680798005,0.8796791443850267,0.7905938894610367,2618.0,8,roberta
1,0.5852842809364549,0.5255255255255256,0.5537974683544304,1332.0,8,roberta
2,0.0,0.0,0.0,158.0,8,roberta
3,0.4527027027027027,0.20679012345679013,0.2838983050847458,324.0,8,roberta
4,0.8666666666666667,0.16666666666666666,0.2795698924731182,78.0,8,roberta
5,0.36046511627906974,0.29245283018867924,0.32291666666666663,106.0,8,roberta
6,0.3202247191011236,0.2651162790697674,0.2900763358778626,215.0,8,roberta
weighted avg,0.6169271831190798,0.6563858414406956,0.6246777296207542,4831.0,8,roberta
