,precision,recall,f1-score,support,batch_size,model
0,0.7808988764044944,0.6385911179173047,0.7026116259477675,653.0,8,roberta
1,0.45176110260336905,0.7994579945799458,0.5772994129158513,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.8571428571428571,0.06593406593406594,0.12244897959183673,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.0,0.0,0.0,28.0,8,roberta
6,0.2127659574468085,0.24390243902439024,0.2272727272727273,41.0,8,roberta
weighted avg,0.6151089584271532,0.5866236905721193,0.5578484400248834,1241.0,8,roberta
0,0.8987654320987655,0.557427258805513,0.6880907372400756,653.0,8,roberta
1,0.4741506646971935,0.8699186991869918,0.6137667304015296,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.4842105263157895,0.5054945054945055,0.49462365591397855,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.13043478260869565,0.10714285714285714,0.11764705882352941,28.0,8,roberta
6,0.1951219512195122,0.1951219512195122,0.1951219512195122,41.0,8,roberta
weighted avg,0.6587999631277507,0.5979049153908138,0.5899339607342181,1241.0,8,roberta
0,0.7643504531722054,0.774885145482389,0.7695817490494296,653.0,8,roberta
1,0.5673076923076923,0.6395663956639567,0.6012738853503184,369.0,8,roberta
2,1.0,0.02631578947368421,0.05128205128205127,38.0,8,roberta
3,0.4639175257731959,0.4945054945054945,0.4787234042553192,91.0,8,roberta
4,0.75,0.14285714285714285,0.24,21.0,8,roberta
5,0.3235294117647059,0.39285714285714285,0.3548387096774193,28.0,8,roberta
6,0.2962962962962963,0.1951219512195122,0.23529411764705882,41.0,8,roberta
weighted avg,0.665294803308549,0.6526994359387591,0.6402433813489073,1241.0,8,roberta
0,0.7460087082728593,0.7871362940275651,0.7660208643815201,653.0,8,roberta
1,0.6260869565217392,0.5853658536585366,0.6050420168067226,369.0,8,roberta
2,0.5,0.02631578947368421,0.05,38.0,8,roberta
3,0.48863636363636365,0.4725274725274725,0.48044692737430167,91.0,8,roberta
4,0.3684210526315789,0.3333333333333333,0.35,21.0,8,roberta
5,0.3055555555555556,0.39285714285714285,0.34375000000000006,28.0,8,roberta
6,0.25806451612903225,0.3902439024390244,0.3106796116504854,41.0,8,roberta
weighted avg,0.6514977641996108,0.6510878323932313,0.6436790194291254,1241.0,8,roberta
0,0.8167808219178082,0.7304747320061256,0.7712206952303962,653.0,8,roberta
1,0.6574585635359116,0.6449864498644986,0.6511627906976745,369.0,8,roberta
2,0.6666666666666666,0.15789473684210525,0.25531914893617025,38.0,8,roberta
3,0.29842931937172773,0.6263736263736264,0.40425531914893614,91.0,8,roberta
4,0.46153846153846156,0.2857142857142857,0.35294117647058826,21.0,8,roberta
5,0.4,0.14285714285714285,0.21052631578947364,28.0,8,roberta
