,precision,recall,f1-score,support,batch_size,model
0,0.6248256624825662,0.6860643185298622,0.654014598540146,653.0,8,roberta
1,0.31297709923664124,0.4444444444444444,0.3673012318029115,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.0,0.0,0.0,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.0,0.0,0.0,28.0,8,roberta
6,0.0,0.0,0.0,41.0,8,roberta
weighted avg,0.4218369921188045,0.4931506849315068,0.45334866025945986,1241.0,8,roberta
0,0.5853658536585366,0.8820826952526799,0.7037263286499694,653.0,8,roberta
1,0.30739299610894943,0.2140921409214092,0.2523961661341853,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.0,0.0,0.0,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.0,0.0,0.0,28.0,8,roberta
6,0.0,0.0,0.0,41.0,8,roberta
weighted avg,0.39941331023628257,0.5278001611603546,0.44534043345039837,1241.0,8,roberta
0,0.6764199655765921,0.6018376722817764,0.6369529983792545,653.0,8,roberta
1,0.3287878787878788,0.5880758807588076,0.42176870748299317,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.0,0.0,0.0,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.0,0.0,0.0,28.0,8,roberta
6,0.0,0.0,0.0,41.0,8,roberta
weighted avg,0.45368651474153254,0.49153908138597907,0.46056644722230267,1241.0,8,roberta
0,0.7263157894736842,0.5283307810107197,0.6117021276595745,653.0,8,roberta
1,0.34595300261096606,0.7181571815718157,0.4669603524229075,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.0,0.0,0.0,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.0,0.0,0.0,28.0,8,roberta
6,0.0,0.0,0.0,41.0,8,roberta
weighted avg,0.48504501892809204,0.49153908138597907,0.46071705028666804,1241.0,8,roberta
0,0.7370517928286853,0.5653170359052712,0.6398616515348032,2618.0,8,roberta
1,0.3375841303577754,0.7154654654654654,0.4587244283995186,1332.0,8,roberta
2,0.0,0.0,0.0,158.0,8,roberta
3,0.0,0.0,0.0,324.0,8,roberta
4,0.0,0.0,0.0,78.0,8,roberta
5,0.0,0.0,0.0,106.0,8,roberta
6,0.0,0.0,0.0,215.0,8,roberta
weighted avg,0.4924992041527747,0.5036224384185469,0.4732309547394481,4831.0,8,roberta
