file,id_sentence,sentence_begin,sentence_end,link,pairs_events
ES100447.xml,74,1079,1156,EVENTTLINKLink,[]
ES100526.xml,79,1720,1736,EVENTTLINKLink,[]
ES100320.xml,44,673,739,EVENTTLINKLink,[]
ES100519.xml,104,3355,3448,EVENTTLINKLink,[]
ES100445.xml,19,0,35,EVENTTLINKLink,[]
ES100445.xml,49,645,684,EVENTTLINKLink,[]
ES100445.xml,59,800,859,EVENTTLINKLink,[]
ES100521.xml,84,2218,2256,EVENTTLINKLink,[]
ES100736.xml,34,482,577,EVENTTLINKLink,[]
ES100050.xml,24,245,292,EVENTTLINKLink,[]
ES100050.xml,49,707,743,EVENTTLINKLink,[]
ES100091.xml,29,265,272,EVENTTLINKLink,[]
ES100091.xml,44,318,331,EVENTTLINKLink,[]
ES100091.xml,54,344,352,EVENTTLINKLink,[]
ES100091.xml,74,947,965,EVENTTLINKLink,[]
ES100278.xml,34,370,425,EVENTTLINKLink,[]
ES100578.xml,39,730,755,EVENTTLINKLink,[]
ES100578.xml,44,756,770,EVENTTLINKLink,[]
ES100587.xml,19,0,5,EVENTTLINKLink,[]
ES100587.xml,24,6,23,EVENTTLINKLink,[]
ES100587.xml,34,84,103,EVENTTLINKLink,[]
ES100587.xml,49,199,212,EVENTTLINKLink,[]
ES100587.xml,64,311,331,EVENTTLINKLink,[]
ES100633.xml,39,596,665,EVENTTLINKLink,[]
ES100631.xml,44,610,646,EVENTTLINKLink,[]
ES100552.xml,59,927,956,EVENTTLINKLink,[]
ES100778.xml,39,951,1003,EVENTTLINKLink,[]
ES100778.xml,54,1249,1330,EVENTTLINKLink,[]
ES100797.xml,54,1871,1970,EVENTTLINKLink,[]
ES100797.xml,64,2040,2171,EVENTTLINKLink,[]
ES100797.xml,74,2234,2286,EVENTTLINKLink,[]
ES100797.xml,84,2358,2404,EVENTTLINKLink,[]
ES100797.xml,89,2405,2464,EVENTTLINKLink,[]
ES100797.xml,94,2465,2509,EVENTTLINKLink,[]
ES100797.xml,104,2570,2655,EVENTTLINKLink,[]
ES100797.xml,109,2656,2717,EVENTTLINKLink,[]
ES100797.xml,114,2718,2831,EVENTTLINKLink,[]
ES100797.xml,124,2910,2929,EVENTTLINKLink,[]
ES100797.xml,129,2930,2988,EVENTTLINKLink,[]
ES100797.xml,134,2989,3049,EVENTTLINKLink,[]
ES100797.xml,139,3050,3066,EVENTTLINKLink,[]
ES100797.xml,144,3067,3170,EVENTTLINKLink,[]
ES100423.xml,54,956,1040,EVENTTLINKLink,[]
ES100030.xml,49,716,760,EVENTTLINKLink,[]
ES100178.xml,19,0,26,EVENTTLINKLink,[]
ES100178.xml,34,120,131,EVENTTLINKLink,[]
ES100178.xml,44,246,253,EVENTTLINKLink,[]
ES100363.xml,59,884,913,EVENTTLINKLink,[]
ES100363.xml,74,1025,1054,EVENTTLINKLink,[]
ES100363.xml,89,1196,1214,EVENTTLINKLink,[]
ES100363.xml,99,1249,1292,EVENTTLINKLink,[]
ES100002.xml,44,571,575,EVENTTLINKLink,[]
ES100002.xml,54,603,631,EVENTTLINKLink,[]
ES100002.xml,69,818,860,EVENTTLINKLink,[]
ES100002.xml,84,1021,1065,EVENTTLINKLink,[]
ES100002.xml,114,1585,1619,EVENTTLINKLink,[]
ES100994.xml,7513,0,47,EVENTTLINKLink,[]
ES100177.xml,24,117,260,EVENTTLINKLink,[]
ES100177.xml,54,731,775,EVENTTLINKLink,[]
ES100417.xml,39,415,460,EVENTTLINKLink,[]
ES100417.xml,49,632,659,EVENTTLINKLink,[]
ES100417.xml,79,1380,1415,EVENTTLINKLink,[]
ES100832.xml,74,1911,1912,EVENTTLINKLink,[]
ES100832.xml,79,1914,1940,EVENTTLINKLink,[]
ES100832.xml,89,1965,1966,EVENTTLINKLink,[]
ES100832.xml,94,1968,2057,EVENTTLINKLink,[]
ES100832.xml,99,2057,2058,EVENTTLINKLink,[]
ES100832.xml,109,2116,2117,EVENTTLINKLink,[]
ES100832.xml,114,2119,2195,EVENTTLINKLink,[]
ES100832.xml,119,2195,2196,EVENTTLINKLink,[]
ES100946.xml,8237,766,911,EVENTTLINKLink,[]
ES100946.xml,8262,2199,2396,EVENTTLINKLink,[]
ES100946.xml,8277,2613,2717,EVENTTLINKLink,[]
ES100947.xml,29,149,159,EVENTTLINKLink,[]
ES100947.xml,34,160,209,EVENTTLINKLink,[]
ES100947.xml,59,645,698,EVENTTLINKLink,[]
ES100819.xml,19,0,63,EVENTTLINKLink,[]
ES100819.xml,44,681,729,EVENTTLINKLink,[]
ES100819.xml,59,1048,1049,EVENTTLINKLink,[]
ES100819.xml,69,1259,1348,EVENTTLINKLink,[]
ES100819.xml,79,1539,1630,EVENTTLINKLink,[]
ES100819.xml,94,1762,1763,EVENTTLINKLink,[]
