file,string,begin,end,value,timex3Class
JAJAJAJAJ,50 años,9,16,P50Y,DURATION
JAJAJAJAJ,enero de 2004,41,54,2004-01,DATE
JAJAJAJAJ,enero de 2006,317,330,2006-01,DATE
JAJAJAJAJ,abril de 2006,421,434,2006-04,DATE
JAJAJAJAJ,3 meses,525,532,P3M,DURATION
JAJAJAJAJ,tres meses,1901,1911,P3M,DURATION
JAJAJAJAJ,50 años,9,16,P50Y,DURATION
JAJAJAJAJ,enero de 2004,41,54,2004-01,DATE
JAJAJAJAJ,enero de 2006,317,330,2006-01,DATE
JAJAJAJAJ,abril de 2006,421,434,2006-04,DATE
JAJAJAJAJ,3 meses,525,532,P3M,DURATION
JAJAJAJAJ,tres meses,1901,1911,P3M,DURATION
JAJAJAJAJ,50 años,9,16,P50Y,DURATION
JAJAJAJAJ,enero de 2004,41,54,2004-01,DATE
JAJAJAJAJ,enero de 2006,317,330,2006-01,DATE
JAJAJAJAJ,abril de 2006,421,434,2006-04,DATE
JAJAJAJAJ,3 meses,525,532,P3M,DURATION
JAJAJAJAJ,tres meses,1901,1911,P3M,DURATION
JAJAJAJAJ,50 años,9,16,P50Y,DURATION
JAJAJAJAJ,enero de 2004,41,54,2004-01,DATE
JAJAJAJAJ,enero de 2006,317,330,2006-01,DATE
JAJAJAJAJ,abril de 2006,421,434,2006-04,DATE
JAJAJAJAJ,3 meses,525,532,P3M,DURATION
JAJAJAJAJ,tres meses,1901,1911,P3M,DURATION
