file,string,begin,end,value,timex3Class
ES100447.xml,50 años,9,16,P50Y,DURATION
ES100447.xml,enero de 2004,41,54,2004-01,DATE
ES100447.xml,enero de 2006,317,330,2006-01,DATE
ES100447.xml,abril de 2006,421,434,2006-04,DATE
ES100447.xml,3 meses,525,532,P3M,DURATION
ES100447.xml,tres meses,1901,1911,P3M,DURATION
ES100686.xml,el siguiente mes,131,147,XXXX-XX,DATE
ES100686.xml,6 meses,193,200,P6M,DURATION
ES100686.xml,Cinco días,379,389,P5D,DURATION
ES100686.xml,cuatro semanas,508,522,P4W,DURATION
ES100526.xml,34 años,12,19,P34Y,DURATION
ES100526.xml,8 meses,146,153,P8M,DURATION
ES100526.xml,los 4 meses,259,270,P4M,DURATION
ES100042.xml,70 años,36,43,P70Y,DURATION
ES100042.xml,8 meses,194,201,P8M,DURATION
ES100042.xml,los últimos 6 meses,333,352,P6M,DURATION
ES100042.xml,los 3 meses,913,924,P3M,DURATION
ES100042.xml,la mañana,1903,1912,XXXX-XX-XXTMO,TIME
ES100042.xml,diaria,2796,2802,P1D,SET
ES100042.xml,3 meses,2812,2819,P3M,DURATION
ES100042.xml,6 meses,2859,2866,P6M,DURATION
ES100042.xml,diaria,2910,2916,P1D,SET
ES100042.xml,6 meses,2917,2924,P6M,DURATION
ES100042.xml,45 días,2950,2957,P45D,DURATION
ES100042.xml,45 días,3006,3013,P45D,DURATION
ES100042.xml,Actualmente,3228,3239,PRESENT_REF,DATE
ES100042.xml,al año,3241,3247,P1Y,SET
ES100650.xml,47 años,9,16,P47Y,DURATION
ES100650.xml,próxima,858,865,FUTURE_REF,DATE
ES100650.xml,3 años,1769,1775,P3Y,DURATION
ES100320.xml,27 años,9,16,P27Y,DURATION
ES100320.xml,15 días,45,52,P15D,DURATION
ES100320.xml,reciente,216,224,PAST_REF,DATE
ES100320.xml,tres semanas,2321,2333,P3W,DURATION
ES100320.xml,varias semanas,3821,3835,PXW,DURATION
ES100280.xml,los 5 años,190,200,P5Y,DURATION
ES100280.xml,Seis meses,448,458,P6M,DURATION
ES100519.xml,77 años,9,16,P77Y,DURATION
ES100519.xml,4 días,281,287,P4D,DURATION
ES100519.xml,las 48 horas,408,420,P2D,DURATION
ES100519.xml,las 24 horas,1454,1466,P1D,DURATION
ES100519.xml,las 48 horas,1577,1589,P2D,DURATION
ES100519.xml,los 15 días,2193,2204,P15D,DURATION
ES100519.xml,los 20 días,2643,2654,P20D,DURATION
ES100519.xml,Dos meses,3261,3270,P2M,DURATION
ES100519.xml,diaria,3533,3539,P1D,SET
ES100727.xml,16 años,19,26,P16Y,DURATION
ES100727.xml,los 10 días,2772,2783,P10D,DURATION
ES100727.xml,Actualmente,2925,2936,PRESENT_REF,DATE
ES100727.xml,3 años,2967,2973,P3Y,DURATION
ES100848.xml,55 años,9,16,P55Y,DURATION
ES100848.xml,noviembre de 2005,48,65,2005-11,DATE
ES100848.xml,120 horas,798,807,P5D,DURATION
ES100848.xml,marzo de 2007,994,1007,2007-03,DATE
ES100848.xml,5 meses,1907,1914,P5M,DURATION
ES100445.xml,11 años y 10 meses,8,26,P11Y10M,DURATION
ES100445.xml,los 2 años,322,332,P2Y,DURATION
ES100445.xml,actual,928,934,PRESENT_REF,DATE
ES100445.xml,11 años y 10 meses,938,956,P11Y10M,DURATION
ES100079.xml,56 años,12,19,P56Y,DURATION
ES100079.xml,3 meses,2550,2557,P3M,DURATION
ES100079.xml,los 12 meses,2955,2967,P1Y,DURATION
ES100079.xml,Actualmente,3241,3252,PRESENT_REF,DATE
ES100079.xml,20 meses,3271,3279,P20M,DURATION
ES100737.xml,5 años y 7 meses,12,28,P5Y7M,DURATION
ES100737.xml,el 12 de junio de 2002,119,141,2002-06-12,DATE
ES100737.xml,10 días,169,176,P10D,DURATION
ES100737.xml,los diez días,1768,1781,P10D,DURATION
ES100737.xml,la actualidad,1934,1947,PRESENT_REF,DATE
ES100051.xml,67 años,18,25,P67Y,DURATION
ES100521.xml,31 años,9,16,P31Y,DURATION
ES100521.xml,14 años,76,83,P14Y,DURATION
ES100521.xml,11 días,294,301,P11D,DURATION
ES100521.xml,21 días,605,612,P21D,DURATION
ES100521.xml,7 semanas,685,694,P7W,DURATION
ES100521.xml,diarios,1375,1382,P1D,SET
ES100521.xml,20 días,1452,1459,P20D,DURATION
ES100521.xml,diarios,1479,1486,P1D,SET
ES100521.xml,5 minutos,1950,1959,PT5M,DURATION
ES100521.xml,20 días,2286,2293,P20D,DURATION
ES100521.xml,Una semana,2781,2791,P1W,DURATION
ES100521.xml,4 meses,3188,3195,P4M,DURATION
ES100521.xml,2 semanas,3230,3239,P2W,DURATION
ES100521.xml,Seis semanas,3342,3354,P6W,DURATION
ES100284.xml,25 años,16,23,P25Y,DURATION
ES100284.xml,siete meses,103,114,P7M,DURATION
ES100284.xml,dos meses,282,291,P2M,DURATION
ES100284.xml,cinco meses,386,397,P5M,DURATION
ES100284.xml,3 meses,1552,1559,P3M,DURATION
ES100736.xml,20 años,24,31,P20Y,DURATION
ES100736.xml,Septiembre de 2003,49,67,2003-09,DATE
ES100736.xml,8 meses,289,296,P8M,DURATION
ES100736.xml,Mayo de 2004,871,883,2004-05,DATE
