,id_file,file,string,begin,end,value,timex3Class
0,0,ES100447.xml,50 años,9,16,P50Y,DURATION
1,0,ES100447.xml,enero de 2004,41,54,2004-01,DATE
2,0,ES100447.xml,enero de 2006,317,330,2006-01,DATE
3,0,ES100447.xml,abril de 2006,421,434,2006-04,DATE
4,0,ES100447.xml,3 meses,525,532,P3M,DURATION
5,0,ES100447.xml,tres meses,1901,1911,P3M,DURATION
6,1,ES100686.xml,el siguiente mes,131,147,XXXX-XX,DATE
7,1,ES100686.xml,6 meses,193,200,P6M,DURATION
8,1,ES100686.xml,Cinco días,379,389,P5D,DURATION
9,1,ES100686.xml,cuatro semanas,508,522,P4W,DURATION
10,2,ES100526.xml,34 años,12,19,P34Y,DURATION
11,2,ES100526.xml,8 meses,146,153,P8M,DURATION
12,2,ES100526.xml,los 4 meses,259,270,P4M,DURATION
13,3,ES100042.xml,70 años,36,43,P70Y,DURATION
14,3,ES100042.xml,8 meses,194,201,P8M,DURATION
15,3,ES100042.xml,los últimos 6 meses,333,352,P6M,DURATION
16,3,ES100042.xml,los 3 meses,913,924,P3M,DURATION
17,3,ES100042.xml,la mañana,1903,1912,XXXX-XX-XXTMO,TIME
18,3,ES100042.xml,diaria,2796,2802,P1D,SET
19,3,ES100042.xml,3 meses,2812,2819,P3M,DURATION
20,3,ES100042.xml,6 meses,2859,2866,P6M,DURATION
21,3,ES100042.xml,diaria,2910,2916,P1D,SET
22,3,ES100042.xml,6 meses,2917,2924,P6M,DURATION
23,3,ES100042.xml,45 días,2950,2957,P45D,DURATION
24,3,ES100042.xml,45 días,3006,3013,P45D,DURATION
25,3,ES100042.xml,Actualmente,3228,3239,PRESENT_REF,DATE
26,3,ES100042.xml,al año,3241,3247,P1Y,SET
27,4,ES100650.xml,47 años,9,16,P47Y,DURATION
28,4,ES100650.xml,próxima,858,865,FUTURE_REF,DATE
29,4,ES100650.xml,3 años,1769,1775,P3Y,DURATION
30,5,ES100320.xml,27 años,9,16,P27Y,DURATION
31,5,ES100320.xml,15 días,45,52,P15D,DURATION
32,5,ES100320.xml,reciente,216,224,PAST_REF,DATE
33,5,ES100320.xml,tres semanas,2321,2333,P3W,DURATION
34,5,ES100320.xml,varias semanas,3821,3835,PXW,DURATION
35,6,ES100280.xml,los 5 años,190,200,P5Y,DURATION
36,6,ES100280.xml,Seis meses,448,458,P6M,DURATION
37,7,ES100519.xml,77 años,9,16,P77Y,DURATION
38,7,ES100519.xml,4 días,281,287,P4D,DURATION
39,7,ES100519.xml,las 48 horas,408,420,P2D,DURATION
40,7,ES100519.xml,las 24 horas,1454,1466,P1D,DURATION
41,7,ES100519.xml,las 48 horas,1577,1589,P2D,DURATION
42,7,ES100519.xml,los 15 días,2193,2204,P15D,DURATION
43,7,ES100519.xml,los 20 días,2643,2654,P20D,DURATION
44,7,ES100519.xml,Dos meses,3261,3270,P2M,DURATION
45,7,ES100519.xml,diaria,3533,3539,P1D,SET
46,8,ES100727.xml,16 años,19,26,P16Y,DURATION
47,8,ES100727.xml,los 10 días,2772,2783,P10D,DURATION
48,8,ES100727.xml,Actualmente,2925,2936,PRESENT_REF,DATE
49,8,ES100727.xml,3 años,2967,2973,P3Y,DURATION
50,9,ES100848.xml,55 años,9,16,P55Y,DURATION
51,9,ES100848.xml,noviembre de 2005,48,65,2005-11,DATE
52,9,ES100848.xml,120 horas,798,807,P5D,DURATION
53,9,ES100848.xml,marzo de 2007,994,1007,2007-03,DATE
54,9,ES100848.xml,5 meses,1907,1914,P5M,DURATION
55,10,ES100445.xml,11 años y 10 meses,8,26,P11Y10M,DURATION
56,10,ES100445.xml,los 2 años,322,332,P2Y,DURATION
57,10,ES100445.xml,actual,928,934,PRESENT_REF,DATE
58,10,ES100445.xml,11 años y 10 meses,938,956,P11Y10M,DURATION
59,11,ES100079.xml,56 años,12,19,P56Y,DURATION
60,11,ES100079.xml,3 meses,2550,2557,P3M,DURATION
61,11,ES100079.xml,los 12 meses,2955,2967,P1Y,DURATION
